"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","B1-A","B10-A","B11-A","B12-A","B13-A","B14-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A","UV1-A","UV10-A","UV11-A","UV12-A","UV13-A","UV14-A","UV15-A","UV16-A","UV2-A","UV3-A","UV4-A","UV5-A","UV6-A","UV7-A","UV8-A","UV9-A","V1-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","YG1-A","YG10-A","YG2-A","YG3-A","YG4-A","YG5-A","YG6-A","YG7-A","YG8-A","YG9-A","Time"
1.36474e+06,1.37942e+06,2.07946e+06,1.63782e+06,1.80685e+06,2.13737e+06,252352,201417,129179,105786,127359,109011,209378,350292,207508,190224,170791,230461,154187,128623,459546,483421,439610,340030,230837,227819,218191,221909,49992.5,102005,92742.9,68764.6,93408.4,53773.3,50666.5,18930.9,475374,372241,411540,300334,226176,165680,172777,138652,468210,156395,169883,157411,122519,86077.5,96475.4,121158,432892,508089,390178,436557,470209,347120,214581,166178,331770,156137,330310,354183,303769,245651,292597,259624,176774,163640,0.0021
1.49295e+06,1.50836e+06,2.14017e+06,1.4266e+06,1.57943e+06,2.21231e+06,253036,212914,146594,121571,143225,139845,220362,365021,216601,200352,178705,242139,161657,140932,468491,503616,463865,365763,258228,258305,252824,273586,81070.4,123509,115090,90062.4,103693,66900.4,72157.9,30310.2,631124,449353,498876,360324,268975,200908,207238,162920,518100,170130,184821,176570,140531,102647,120312,148476,475366,556650,425623,476898,514760,379104,235561,180148,354911,218106,353232,377656,325864,268083,321081,295322,211329,217292,0.0124
1.37328e+06,1.38835e+06,2.02486e+06,1.62199e+06,1.81917e+06,2.1638e+06,250880,209100,141068,120254,130252,121550,211499,353868,210946,194306,176669,235643,157042,136266,441546,468036,431060,332578,229346,224049,215049,234764,58931.5,107435,93087.6,74821.6,87865.6,55869.2,47451.8,18424.7,456226,387965,425719,309926,235373,172560,181861,142888,463207,155621,166466,155375,121917,88082.2,102649,125965,430779,507240,389035,436252,470511,345665,213752,164205,337728,187069,341862,364268,308897,254012,307049,275825,191295,190742,0.0145
1.49127e+06,1.4899e+06,1.82506e+06,1.07345e+06,1.19865e+06,1.95875e+06,234433,205485,138452,119434,128095,125190,198132,328937,197174,183708,168655,227035,153816,133717,441736,469356,444398,337826,237159,231820,225128,240334,60431.9,110928,103457,81147.6,94366.8,57665.1,48267.8,20743.7,514605,409583,439110,318095,240424,176443,183489,145366,462041,153284,165365,154962,124235,88484.9,103873,131566,425839,498384,380011,423866,457067,336441,208212,162141,345365,208763,353576,377606,317372,263720,318884,285094,203419,202029,0.0191
1.35297e+06,1.36983e+06,1.63443e+06,1.81606e+06,2.03832e+06,1.7588e+06,249150,203485,129796,113276,118963,123233,208918,345343,203357,189424,170969,228457,151251,128286,407868,434242,398118,303360,209938,204508,197570,207939,57178.4,109125,94986.5,69334.3,81240.1,49660.6,43906.6,21254.6,421634,372532,433191,319844,246433,179444,190749,146611,415199,142296,150599,139119,107834,75032,87253.7,115684,397151,470410,362274,407610,439461,322203,197488,151640,325670,186856,327512,347284,287733,238881,286869,257741,174975,172665,0.0193
1.41155e+06,1.40696e+06,2.16637e+06,1.68012e+06,1.86529e+06,2.22475e+06,242235,190877,129584,107317,118719,110930,205827,342089,205793,189886,171796,228246,154229,127559,445538,469717,434356,333225,224937,223601,212272,221793,49400.5,102662,91949.4,69534.2,84149.1,57532.4,45830,18672.7,447829,363785,406072,297029,222783,165308,172668,135437,481912,162998,175937,161362,126106,87209.7,100243,126869,447003,523592,402633,450329,485693,359340,224283,172504,335099,170789,336536,357478,301136,245163,292469,258830,176510,171559,0.0277
1.48798e+06,1.48139e+06,1.77387e+06,1.40477e+06,1.538e+06,1.7843e+06,267638,215641,138061,115262,136731,132296,224239,375098,219992,204585,182735,240737,164764,136706,455383,490371,457101,359950,251509,254805,250349,271076,80199.4,117386,107917,83619.1,106452,62016.8,55991.5,23225.5,589515,425997,465717,346311,257405,188402,198801,156413,465222,151763,168935,157090,125700,91848,111582,136069,427932,498457,379659,423579,457152,335009,207079,161005,350834,205907,349812,376308,323400,267088,319145,294112,205821,211685,0.0456
1.44526e+06,1.44074e+06,1.6455e+06,1.24693e+06,1.38017e+06,1.66722e+06,248470,208239,137106,113884,122907,126341,210367,352672,208373,192584,172281,228985,155378,132123,458110,493756,463013,360201,252805,257058,258389,277867,80523.6,113129,103364,78893.8,91400.4,60588,54857.2,21141.1,572109,404325,450410,328742,247651,179525,189219,146314,429195,142336,154098,146080,118024,86224.9,106010,142271,394995,462255,352657,392942,422797,311521,192978,149417,354585,233773,354705,382433,326859,269148,329590,299903,211747,211659,0.048
1.40259e+06,1.39386e+06,2.22813e+06,1.6637e+06,1.83303e+06,2.28415e+06,250908,202696,133295,112594,132399,116884,214623,359022,213111,196677,176619,233805,159300,135258,462259,492434,454569,351301,238559,239169,229216,236916,60849.8,112614,102489,76783.3,93068.3,57908.4,46128.6,20623.3,538933,403338,451350,322852,247095,181372,189831,148185,500021,165637,181063,166214,132476,93474.2,103792,130538,457388,536814,410421,460620,494703,365471,228724,175105,346980,180244,343393,369659,312878,256604,303260,273764,183045,181362,0.0513
1.47262e+06,1.48031e+06,2.22053e+06,1.25305e+06,1.3993e+06,2.38191e+06,245512,212537,139544,119552,136717,130760,207129,346945,208086,192797,174925,234543,160905,137410,449098,479608,446348,343000,238299,232793,227704,237573,64705.9,110415,102083,77203.9,94131.8,61303.8,61127.2,25335.4,501879,406358,441153,315668,240742,177167,182030,146691,499081,164647,177426,164131,132495,92990,110704,141098,458922,538680,412915,461030,496009,365582,226428,174214,339853,203999,342840,364815,306455,257186,313387,279746,198312,198146,0.057
