"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","B1-A","B10-A","B11-A","B12-A","B13-A","B14-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A","UV1-A","UV10-A","UV11-A","UV12-A","UV13-A","UV14-A","UV15-A","UV16-A","UV2-A","UV3-A","UV4-A","UV5-A","UV6-A","UV7-A","UV8-A","UV9-A","V1-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","YG1-A","YG10-A","YG2-A","YG3-A","YG4-A","YG5-A","YG6-A","YG7-A","YG8-A","YG9-A","Time"
2.04559e+06,2.04201e+06,1.56096e+06,1.98804e+06,2.17753e+06,1.58691e+06,235.099,-237.331,-200.961,-170.765,-68.5738,106.728,364.066,210.928,-114.686,-76.0856,-223.72,525.534,-8.18125,448.109,53.6812,55.5844,165.966,12.0094,117.731,412.387,247.472,-237.037,744.266,162.153,841.344,-141.075,227.05,-280.309,384.453,-179.966,862.006,767.066,577.066,319.378,345.325,451.131,656.866,2164.28,2363.54,117.449,210.251,-38.4906,-307.431,481.098,242.244,-138.284,-185.108,200.928,-620.441,338.364,109.539,-263.431,62.0088,-440.064,941.5,272.125,174,333.875,305.875,202.5,-45.875,-72.6875,474.25,411.062,0.0091
2.04999e+06,2.08948e+06,1.64208e+06,1.76967e+06,1.9824e+06,1.77274e+06,713.256,290.732,72.2181,194.639,597.008,729.916,649.443,1137.34,723.818,246.999,62.6981,159.981,-2.00813,144.585,345.844,368.944,0.459375,-121.8,-18.1781,27.7594,-159.403,377.147,1098.44,386.947,317.003,190,819.969,101.65,931.416,133,555.216,518.997,204.369,113.466,688.572,444.066,159.422,1699.25,2517,96.8975,7.76875,-123.876,-227.554,468.879,-17.3031,282.288,454.825,-1.27125,-273.884,-3.03688,476.86,433.426,296.272,578.136,748.688,427.375,139.062,163.375,-93.0625,-196.438,224.938,73.4375,382.312,645.125,0.0222
2.02851e+06,2.0183e+06,1.36875e+06,1.79496e+06,1.96461e+06,1.39327e+06,518.914,-47.005,431.301,-316.986,6.09875,760.41,671.234,158.121,531.409,202.374,721.884,410.401,-34.4356,-162.509,76.9125,-63.8531,-190.641,370.781,-259.153,244.847,428.334,-256.397,1428.74,-84.1344,968.644,-151.109,292.125,1266.41,860.344,459.384,466.688,522.975,510.862,470.012,116.731,296.816,594.284,2171.7,2224.76,-72.6025,-301.781,-480.603,436.816,252.484,-409.201,-411.461,296.342,178.469,255.733,642.97,518.953,-71.6137,-27.9675,-25.9194,654.625,287.438,103.188,206.375,-39,319.5,278,311.312,-318.625,-5.8125,0.0375
2.02437e+06,2.01511e+06,1.61851e+06,1.94076e+06,2.13172e+06,1.64938e+06,532.748,362.281,-169.501,515.196,653.905,34.3613,208.176,207.953,657.624,331.341,-29.0806,867.808,518.245,548.664,386.925,-342.562,80.325,517.256,245.306,169.444,79.275,-782.447,74.3969,-56.9406,687.859,21.2563,434.031,-66.8562,250.384,275.856,640.834,610.256,341.228,270.987,413.131,270.038,7.125,2416.21,1779.96,97.1094,326.146,-60.2431,-137.083,276.497,111.588,-96.7562,71.755,628.845,-85.5975,589.154,466.196,137.366,608.576,870.806,881.688,397.75,-4.6875,6.125,372.125,180.562,-247.812,99.6875,266.812,-235.562,0.0452
1.91408e+06,1.95389e+06,1.5347e+06,2.42011e+06,2.71255e+06,1.65918e+06,734.751,-154.254,745.163,-418.954,-15.3213,49.8313,-13.7594,272.882,-106.654,-166.823,-110.447,469.753,385.932,-241.793,58.5375,113.991,-219.516,172.462,-175.809,55.5187,45.6094,677.316,607.703,-252.403,386.531,-30.2812,699.141,694.272,167.912,321.991,670.759,398.288,665.297,343.188,-119.403,129.2,244.684,2270.2,1451.13,477.99,194.713,91.7419,452.989,461.888,415.981,651.586,723.2,44.2113,140.614,192.382,433.849,179.387,-99.3694,-115.189,834.5,451.188,-23.5625,77.3125,144.812,122.312,425.5,245.625,70.9375,630.438,0.0627
1.87661e+06,1.9059e+06,1.65021e+06,2.16937e+06,2.39571e+06,1.73742e+06,9.52,285.526,314.681,61.5825,-474.066,314.606,20.0069,293.038,579.381,47.6744,284.41,534.459,538.773,-0.520625,386.925,-9.05625,-125.212,-266.372,-201.534,66.15,-285.009,-220.172,629.316,-247.238,169.634,179.075,389.559,280.487,628.366,697.062,770.866,908.972,329.472,408.856,524.4,371.153,-92.0906,2696.75,1799.38,180.023,-118.65,234.475,85.88,62.3619,-109.257,382.646,120.698,234.828,-23.4475,690.995,69.9894,99.1575,348.252,506.593,736.625,734.062,19.9375,62.9375,-31.9375,383.25,213.062,45.875,338.438,-118.125,0.0819
2.00365e+06,2.03742e+06,1.65087e+06,1.80504e+06,2.01727e+06,1.76093e+06,594.851,233.166,184.599,38.8981,358.041,93.6381,791.499,347.778,59.7231,10.7844,416.426,667.664,199.771,-6.02438,137.944,-108.937,-65.3625,-298.134,-16.4719,103.687,-401.166,-65.7562,843.125,6.65,927.912,-250.266,358.566,7.48125,-463.541,102.422,1063.7,520.897,455.466,302.694,-49.2219,162.034,103.55,2105.56,2248.49,120.839,-226.283,-134.399,184.684,-216.395,582.656,355.314,-8.33375,312.374,131.292,331.443,-70.7663,-49.9319,679.977,168.935,789.75,602.312,527.312,81.125,487.938,353,821.938,155.875,752.5,-58.875,0.111
1.87045e+06,1.8707e+06,1.75055e+06,2.15946e+06,2.37535e+06,1.82713e+06,407.278,582.505,57.0456,306.053,-265.296,854.123,-265.816,-213.754,-124.206,348.447,-158.493,612.478,-244.917,-98.77,-283.697,-146.934,-39.9656,4.59375,268.734,32.1562,93.0562,682.828,1869.24,15.2594,957.362,-123.797,84.55,447.984,125.519,1179.6,1324,324.484,432.725,598.916,146.181,79.2062,735.359,2004.2,960.853,156.223,444.443,-131.857,316.682,-150.149,-245.563,61.8675,537.315,117.52,-523.614,-208.273,-165.192,431.801,104.949,389.144,549.938,952.438,124.812,548.312,-79.25,147.5,659.625,-134.188,459.438,748.625,0.1296
1.91607e+06,1.95971e+06,1.77628e+06,1.9347e+06,2.16017e+06,1.92995e+06,227.439,-362.281,110.373,349.042,76.8294,486.115,140.123,730.214,11.0075,222.828,129.636,701.431,262.693,-182.516,-99.8156,83.9344,92.4656,-269.587,-175.941,-393.422,159.403,10.5,1206.14,238.688,684.891,-542.747,372.459,-101.175,240.35,-163.697,842.591,519.412,467.4,527.131,-22.0281,127.241,364.681,2571.53,2230.9,203.047,1106.06,353.196,190.405,-87.8575,336.316,-73.3087,325.016,316.612,226.353,299.944,347.404,-29.4506,498.401,-110.316,674.25,323.875,-222.375,-15.9375,470.562,108.312,558.188,474.125,209.938,50.6875,0.1619
2.04013e+06,2.07397e+06,1.50868e+06,2.1015e+06,2.35325e+06,1.6446e+06,902.541,9.52,314.458,-168.608,460.828,-84.1925,14.5775,428.921,643.344,-96.2413,227.959,398.724,-327.399,341.158,124.097,44.2312,-55.7156,2.29688,514.697,71.4656,62.0812,524.147,755.606,107.706,932.544,432.844,235.956,117.206,52.5469,220.875,405.531,734.469,697.597,102.838,154.434,-89.6562,-9.38125,2594.51,1616.61,-258.346,-14.2662,120.416,191.182,-69.0006,-162.438,437.946,-473.117,-341.543,56.9237,-150.855,204.742,240.054,218.019,-0.635625,632.438,192.5,-27.875,456.312,110.312,293.438,359.375,75.875,164.188,474.938,0.1747
