"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","B1-A","B10-A","B11-A","B12-A","B13-A","B14-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A","UV1-A","UV10-A","UV11-A","UV12-A","UV13-A","UV14-A","UV15-A","UV16-A","UV2-A","UV3-A","UV4-A","UV5-A","UV6-A","UV7-A","UV8-A","UV9-A","V1-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","YG1-A","YG10-A","YG2-A","YG3-A","YG4-A","YG5-A","YG6-A","YG7-A","YG8-A","YG9-A","Time"
1.94563e+06,1.96127e+06,1.71135e+06,1.88825e+06,2.07146e+06,1.74847e+06,14892.7,8598.64,5985.48,4269.12,5952.08,4264.81,12535.7,20506.3,11454.1,10822.3,8630.4,10256.6,7180.53,5916.01,1808.17,1723.64,2103.74,1745.03,843.412,261.778,1027.1,1194.11,4945.46,1377.08,1312.96,1739.39,2115.23,1926.84,1121.95,114.594,29746.2,20035.1,19579.4,13515.4,7915.16,3476.23,2906.76,4063.92,24775.6,2828.67,2677.46,2447.37,2032.73,1434.54,1633.7,2922.25,20954.7,24473.9,16518.6,17563.7,18667.8,12335.9,5995.99,3428.56,14804.6,7852.44,14196.2,14938.9,11332.4,9341.94,11382.4,9936.31,6711.81,6413.75,0.0254
1.88537e+06,1.90649e+06,2.26912e+06,2.05332e+06,2.23738e+06,2.29512e+06,17331.6,10027.9,5857.92,4978.22,4230.23,4550.93,13507.8,21039,12307.4,10851.2,9531.23,11549.9,7389.9,6121.06,1929.37,1739.39,2161.42,1004.06,885.872,1054.79,799.575,1137.41,3110.42,1543.39,1300.02,965.853,1237.79,652.65,1369.9,-336.538,28719.9,19153.9,18689.8,13214.3,7553.87,2893.76,3250.43,3435.14,27075.7,3082.43,2706,2623.37,2216.42,1467.52,1794.58,2861.3,22332,26166.8,17992.6,19246.8,19886.2,13397.4,6438.95,4462.37,15242.8,7832.81,14071.1,15172.1,12134.9,9144.31,11354.3,10361.8,6332.81,6919.69,0.0548
1.87273e+06,1.87475e+06,2.30596e+06,2.09904e+06,2.27743e+06,2.31174e+06,16917.6,8140.72,6675.9,5179.77,4761.41,3832.47,14165.2,21412.6,12633.3,11178.7,9044.3,11715.8,7572.64,6095.7,1705.66,1491.79,1899.78,1286.84,1104.67,1037.73,1308.89,1694.57,4459.66,1373.11,1547.61,955.819,1568.45,1080.74,1321.98,-104.025,29209.1,20249.4,19507.1,14039.8,7007.44,3084.23,2444.11,3458.47,27924.2,2614.4,3063.01,2912.08,1961.47,1661.24,1758.56,2807.13,22636.2,26151.8,18035.4,19281.6,20349.1,13788,6742.22,3660.07,15110.1,6332.06,14002.2,14780.6,12039.9,9555.25,10877.3,10576.6,6411.25,7596.75,0.0571
1.90686e+06,1.90354e+06,2.02969e+06,1.96029e+06,2.12287e+06,2.02114e+06,15954.5,9750.79,5510.67,3973.11,6994.15,5647.67,13946.9,22361.4,12344.3,10998.5,9392.97,11391.9,7600.53,6480.89,1759.67,1520.99,1620.81,1306.46,805.35,875.897,957.666,1406.93,6070.32,1426.66,1493.82,911.347,1735.06,1102.71,694.569,282.625,27264.4,19399.9,20143,14163.4,7659.61,3294.48,3282.43,3967.97,26288.1,2566.87,3005.09,2644.13,2142.2,2147.56,1530.58,2562.27,21423,25256.8,17040.3,18429.5,19426,12447.7,6128.7,4140.25,15331.8,4827.62,14270.1,14648.6,11744.1,9856.81,11578.9,9675.62,6273.69,5546.62,0.0577
1.88289e+06,1.90334e+06,2.10045e+06,2.22779e+06,2.48489e+06,2.18773e+06,15308.2,8940.32,5157.53,5285.24,5216.81,5452.88,11994.3,19694.5,11421.2,9989.83,8402.07,10204.3,6463.04,6035.83,1746.41,1299.64,1754.09,1270.5,1105.06,1326.87,452.681,697.659,3190.28,1229.66,1499.46,905.409,1433.61,298.003,1605.26,-125.162,24201,17947.8,18746.5,12691.5,7043.06,2948.62,2295.26,3565.59,25798.6,2845.76,2641.59,2551.26,2087.46,1541.89,2008.08,2491.3,20944.4,25104.1,17764,18857.6,19382.2,13200.8,5878.4,3835.93,15079.5,5089.31,13852.2,13984.7,10595.4,9059.56,11021.3,8571.62,5831.12,7026.44,0.0649
2.00236e+06,2.02785e+06,1.87598e+06,1.49219e+06,1.66643e+06,1.95943e+06,13716.2,8855.09,6380.04,5743.01,5653.84,3960.62,11993,19270.1,11113.8,9855.43,8140.34,10016.5,7042.27,5812.26,1791.37,1692.8,1633.34,1669.76,1132.62,946.837,1366.18,383.119,6289.83,1071.66,1147.72,1390.21,2424.7,2137.92,524.222,699.616,29449.3,19111.8,19129.6,13101.7,7468.96,3343.23,2829.99,3340.91,24538.2,2168.96,3002.13,2137.82,2042.19,820.945,1439.76,2161.12,19617.9,23640.5,16219.5,17224.8,18224.9,12647.2,5243.55,3552.65,16140.4,7757.94,14490.1,14713.4,11780.4,9361.31,10994.2,10210.6,7556.88,8529.56,0.0733
1.97695e+06,2.00304e+06,2.23211e+06,1.67169e+06,1.87304e+06,2.38199e+06,13643,7298.72,5152.18,6104.4,5123.1,7417.49,11564,20660,11231,9613.64,8875.02,11239.3,7153.61,6457.09,1999.27,1367.3,1720.03,1323.52,888.366,497.634,996.056,415.406,2397.68,1511.57,1461.63,919.897,613.462,1584.6,1246.58,20.6031,26478.4,20530.6,19496,12734.5,7697.32,3329.93,2342.46,3675.91,26905.6,2584.1,2346.16,2579.08,2462.98,1489.41,1853.55,2499.14,21997.4,25353.8,18149.8,18331.4,20023.7,13597,6174.32,4230.01,15089.7,8872.94,13926.1,13855.8,11362.2,9544.25,11500.3,10055.4,6443.19,7465.31,0.0772
1.98292e+06,1.99147e+06,1.72775e+06,1.51923e+06,1.69336e+06,1.79866e+06,14394.5,10472.3,4908.9,3693.98,5965.25,3616.34,11427,18860.6,11244.8,9516.06,8557.96,9425.17,6729.9,5357.08,1986.6,1892.69,2003.53,1908.37,568.837,1099.55,520.406,738.741,4688.13,1291.82,1118.62,1184.83,1116.01,1126.76,1164.05,81.6406,29863.5,19895,19677.3,13521.1,7838.87,3236.59,2464,3122.29,23204.3,2202.72,2508.32,2265.72,2106.39,572.204,1870.71,2725.98,19276.2,22490.7,15913.2,16008.4,16774.9,11705.3,5117.84,3069.15,15793.6,8991.06,14024.8,15113.3,11818.6,9542.94,11613.1,9769.19,7294.31,6752.5,0.0782
1.89247e+06,1.91296e+06,2.21008e+06,2.05976e+06,2.27404e+06,2.30803e+06,15277.4,9138.01,6262.3,5026.04,5831.3,3010.77,13083.8,21079.1,11974.6,9844.87,8337.74,10432.9,6967,5930.81,1911.66,1677.24,1648.83,1408.31,1146.86,1279.75,845.644,893.812,3670.03,1510.2,1164.82,772.706,1453.14,394.962,1000.71,1423.75,30084.9,17823.7,17382.7,12656.9,7622.5,3610.42,2515.78,3532.63,27052.6,2720.05,3127.63,2436.7,1998.55,1617.17,1789.28,2926.77,22688.4,26233.2,18284.2,19346.2,20490.1,14016.6,6048.4,3908.95,14427.1,6626.06,14128.7,14485.9,11540.6,9582.5,11624.9,10183.8,7081.44,7141.44,0.0851
2.02735e+06,2.03559e+06,1.79936e+06,1.55209e+06,1.72912e+06,1.89402e+06,13788,8389.8,5804.6,5723.01,4914.48,7171.54,12388.8,19256,11109.4,9793.4,8479.27,8974.68,6393.5,5743.91,1845.44,1769.58,2136.22,1699.75,643.059,987.656,408.122,639.909,6002.69,1018.16,1082.11,1267.3,1448.81,721.169,620.172,1042.03,31522.6,19588,18650.8,13465.3,7645.96,3522.48,2891.74,3989.64,23546.1,2403.23,3127.35,2121.65,1648.03,1528.96,1412.22,2448.22,19299.9,22538.1,16011.7,16765.7,17655.8,12427.7,5062.33,3178.34,15074,9026.5,14491.2,14873.7,11855.1,9559.5,11233.2,9927.56,7118.25,7458.56,0.0866
