"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","B1-A","B10-A","B11-A","B12-A","B13-A","B14-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A","UV1-A","UV10-A","UV11-A","UV12-A","UV13-A","UV14-A","UV15-A","UV16-A","UV2-A","UV3-A","UV4-A","UV5-A","UV6-A","UV7-A","UV8-A","UV9-A","V1-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","YG1-A","YG10-A","YG2-A","YG3-A","YG4-A","YG5-A","YG6-A","YG7-A","YG8-A","YG9-A","Time"
1.89663e+06,1.92346e+06,2.29048e+06,2.10649e+06,2.3658e+06,2.44498e+06,336908,275593,189670,163281,175259,168175,279856,469098,281679,259329,237521,317703,214375,183301,451389,479352,437063,339036,234340,227562,225721,245309,7862.26,13169.2,14185.8,10424.5,11528,6674.76,4581.26,2119.21,56297.7,46551.6,52735,37873.3,27969.2,20791.8,21847.4,18572.7,494219,163445,176619,165613,129172,91962.8,109001,130900,459052,537091,412188,461377,496948,365801,226956,174003,342580,203548,342245,361527,311129,256865,309040,276264,191274,202402,0.0069
1.96607e+06,1.96634e+06,2.10097e+06,1.87765e+06,2.04556e+06,2.13536e+06,343934,276288,179140,156915,186582,190565,294977,482467,289815,264814,237386,317269,215642,181157,460387,499251,462518,362338,252640,255403,255443,275394,8888.91,12442.6,13408.5,9444.07,12623.4,9744.92,7710.02,4872.91,63012.3,47375.4,52619.7,37083,28858.4,20699,21026.1,18754.2,494769,161473,178215,167070,135566,98218.1,118577,145464,452904,531013,406468,453963,488486,359472,221606,172496,345057,210985,342155,368221,317738,259496,320190,294997,204070,218816,0.0077
1.92321e+06,1.94301e+06,2.07128e+06,2.34991e+06,2.59443e+06,2.16715e+06,329044,269197,179058,152195,169864,162629,278801,460687,276463,253377,229187,306538,206284,176011,448225,475902,430866,329713,228358,225128,216773,230162,8435.41,14789.7,14838.8,11288.7,14361.3,6367.85,6771.18,2691.23,60264,53011.4,58721.4,42524.5,31683.3,24025.1,24744.9,21161.7,483069,160676,173723,161339,126089,89228.1,102512,124031,447384,525617,405304,456142,490443,360909,223477,170360,340378,181209,332716,355713,307736,252370,299516,270463,179712,181100,0.0208
2.00846e+06,2.01882e+06,1.89548e+06,1.46241e+06,1.63042e+06,1.99142e+06,299224,259064,177018,152926,170631,160311,255855,427389,255688,236911,215881,289451,200159,168660,451995,485773,448512,348820,245619,248057,236334,256198,10545.9,11998.9,13079,9563.23,9825.49,8266.25,9970.43,2785.04,61932.5,43501.9,47198.4,34528.3,26742.1,19077.2,19835.8,17514.1,449209,147882,160996,150648,122878,87505,105511,137088,415194,485462,370408,414203,443664,327286,202339,156769,350891,235201,347242,369629,316499,266726,320632,293527,210662,212155,0.0216
2.03695e+06,2.00422e+06,1.9946e+06,1.86342e+06,2.01187e+06,1.9817e+06,343204,267913,182485,152907,176272,171024,292526,481219,288641,266819,237738,312308,212449,180700,463645,495063,462330,362068,252595,254451,255158,278813,8399.25,13831.2,14784.6,9762.56,12173.5,7703.91,9977.61,3906.76,69136,49946.1,55804.2,40311.9,30089.8,22565,23829.6,20155.6,488021,159444,175378,167930,134538,97872.8,115959,150471,444109,519926,397662,445100,478946,352657,218488,168170,355240,217030,349835,375864,323126,265493,324271,300514,212113,218693,0.0216
1.94362e+06,1.96598e+06,2.07638e+06,1.875e+06,2.07944e+06,2.15433e+06,334247,281590,185949,156194,187250,182634,281673,469790,279426,259067,233800,312718,211593,181056,456154,491975,454815,356284,248115,248527,244691,264974,7394.44,12278.4,14325,10149.6,11290,9353.58,7323.25,2659.64,65087.6,46951.7,49676.2,37707.4,27430.7,20416.7,21355.2,18709.4,485945,161076,175207,164375,132244,95156.2,115401,146418,451664,525639,405393,452900,487557,357936,221298,170266,344895,225857,338060,364628,314952,258182,315086,288028,203674,216492,0.0525
1.92103e+06,1.92996e+06,2.21917e+06,1.9493e+06,2.13549e+06,2.25773e+06,346546,272204,184755,162524,181318,184861,292951,486322,290399,267414,241682,320699,216697,185901,462578,500264,462785,363004,250302,251844,255176,267715,8680.92,13126.4,13492.3,9174.68,11960.4,8542.52,5752.78,3970.64,64119.4,47305.6,53441.5,38097.2,28324.1,21016.1,21533.5,18242.1,507279,166129,182618,172413,139134,99883.9,117844,154091,465351,545627,417227,468712,502244,369708,228791,176661,345720,212485,339440,364752,314653,259524,317294,289351,201579,208514,0.0676
1.91325e+06,1.90798e+06,2.18008e+06,1.96633e+06,2.1311e+06,2.19825e+06,361910,291250,192289,154957,172958,172731,304295,506337,301664,277478,247563,323134,222060,189378,462219,498380,464834,356422,249243,253421,246786,264786,10153.2,13040.1,14019.7,10089.5,13485.1,10255,6008.1,3108.99,66793.4,47766.4,51808.8,37471,29588,21303.8,21159.2,18307.1,499606,163738,180565,170031,135624,97513.1,113930,144997,458848,534385,407170,455012,489628,359910,222818,172711,344783,194177,339882,365690,315239,256990,314938,283983,200253,199272,0.0797
1.98858e+06,2.01112e+06,1.97743e+06,1.78168e+06,1.99072e+06,2.09574e+06,326861,278142,179759,153017,181238,170701,273032,455350,273403,252819,228147,306529,205996,180626,452982,487256,452002,350434,247552,245388,232868,259009,6591.16,13640.4,14422.1,9974.64,11586.3,7005.36,8392.72,3619.92,63303.8,46075.8,50893,36767,27635.4,20318.8,22175,18854.8,474832,156474,170995,160763,127789,92981.9,106639,139253,437733,510589,391213,438189,471200,346051,213264,165842,340534,221699,338259,362931,311190,261722,312456,286448,200034,210558,0.0965
2.0173e+06,2.00852e+06,1.63288e+06,1.76894e+06,1.92644e+06,1.65246e+06,337125,264992,173593,152344,178762,177004,280431,463006,275884,254819,228849,302147,205884,174832,453731,490823,453929,358517,252118,251861,253337,275658,9061.46,12196.2,14116.5,10295.4,12707.4,9036.1,12065.2,2526.58,66452.3,46891.5,53193.1,36323.8,28381.2,20619.2,21939.2,18257.3,438188,143685,156851,148381,119897,87531.5,107801,136275,404706,470709,360311,401741,432390,318097,196515,151451,350654,233902,347916,372400,322446,267412,317058,298640,206528,213467,0.1003
