"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","B1-A","B10-A","B11-A","B12-A","B13-A","B14-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A","UV1-A","UV10-A","UV11-A","UV12-A","UV13-A","UV14-A","UV15-A","UV16-A","UV2-A","UV3-A","UV4-A","UV5-A","UV6-A","UV7-A","UV8-A","UV9-A","V1-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","YG1-A","YG10-A","YG2-A","YG3-A","YG4-A","YG5-A","YG6-A","YG7-A","YG8-A","YG9-A","Time"
1.88803e+06,1.91281e+06,2.04154e+06,2.27199e+06,2.54066e+06,2.14203e+06,41478.9,23669.3,16269.4,14941.8,14482.8,13594.9,34813.4,58689.5,33264.7,29977.3,25532.9,29994.1,20374.6,17620.6,50617,53772.9,49686.8,36386.8,25088.3,25159,23871.1,23928.4,11182.5,4411.68,4759.44,2881.35,4758.61,2893.4,2577.94,599.034,64580.2,53704.9,52887.1,36194.9,21966.3,9451.02,8822.89,5115.93,69208.8,8335.16,8476.7,7535.9,5939,4067.22,4464.42,6716.15,62957,73842.7,52374.9,55060.2,57540.3,40044.8,18253.7,12142.7,4265.81,1625.06,3505.62,4823.31,3354,2350.88,3400.38,2923.94,2430.62,1915.19,0.0005
2.00568e+06,1.97875e+06,1.65067e+06,1.73687e+06,1.8839e+06,1.64245e+06,43486.2,25693.3,18411.8,12954.8,17288.8,11139.4,35936.7,60120.1,34536.9,29712.1,25175.9,30871.1,20942.9,16558.8,52219.6,56188.8,51833.5,39857.2,27873,28159.2,30013.1,30758.4,11767.8,4750.12,5145.56,3872.08,5419.81,2773.47,6749.27,-39.9594,88616.4,55895.9,56707.3,37897.9,23844,10853.5,9517.4,5655.35,64992.3,7447.97,8126.61,6692.99,5775.36,4494.15,5134.58,7713.17,57472.9,66712.2,46976.9,49315.2,50672.4,35236.6,16579.9,10568.4,4350.88,1890.19,4200.69,4572.81,3865.81,2681.75,4022.38,3395.06,1957.94,2524.94,0.0017
1.89492e+06,1.89638e+06,1.8757e+06,2.23632e+06,2.46134e+06,1.92217e+06,40638,23940.1,16280.4,12239.7,14596.6,17152.7,35884.5,59076.5,33736,29542.9,25567.5,29712.5,20331.2,15262.5,51712.2,53598.8,48723.8,36172.7,24521.2,25045,22354.6,24604.5,6587.36,4314.78,4171.57,2815.8,3961.92,3065.71,3370.24,1603.12,67198.8,50462.1,52459,34309.6,20853.7,9666.31,8336.37,5497.41,66285.4,8040.44,8187.63,7245.77,6053.27,3373.76,3792.14,4427.27,59666.3,70541.6,49575.2,51016.6,53948.6,37173.6,17139.4,11119.6,4203.44,1826.69,4366.5,4484.62,3515.44,2671.19,2663.31,2691.06,1975.31,2232.75,0.0029
1.86364e+06,1.88624e+06,1.87767e+06,2.08469e+06,2.28123e+06,1.92382e+06,43026.8,27475.9,19919.9,14730.3,16187.6,19875,37205.5,62704.5,36081.5,30985.2,27032.6,32112.9,21297,18578.6,52047.9,56077.9,51765.1,38462.1,27604.3,27860.3,26309.7,29673.6,14482.9,4811.04,5088.26,3465.78,3917.09,3654.47,2441.26,1721.7,85289.2,56359,58113.5,38464.9,23252.2,10637.4,9524.52,5507.8,70186.8,8526.27,8833.42,7517.68,6408.65,4425.79,5708.05,6915.39,62354.7,71802.4,50809.3,52912.5,55614.1,37704.6,17889.1,11274.6,4630.25,2183.69,4995.94,4364.25,3642.38,3034.75,2991.62,3074.06,2049.81,2494.12,0.0271
1.92652e+06,1.92965e+06,1.76578e+06,1.95328e+06,2.12522e+06,1.78888e+06,45105.1,25708.8,18378.9,16642.9,15794.7,16799.8,37797.1,63875,36145.2,31670.1,26869.4,32989.7,21347,18325.2,53233.9,56197.4,50361.7,39536.3,27252.1,27780,27771.4,29129.7,11309.8,4738.84,4930.44,3771.38,4591.05,2676.39,6716.98,1878.68,85504.9,57592.1,61224.4,40701,24531.4,11008.2,8801.87,6412.32,69073.2,8327.61,8414.9,7546.56,5888.22,4734.77,4632.51,7578.63,61994.6,71525,50426.8,52109.8,54449.3,37910.1,17336.7,11216,4148.62,2397.06,4690.25,4149.75,3879.62,3113.38,3794.38,3303,2082.25,2078.5,0.0335
1.88462e+06,1.91634e+06,1.93025e+06,1.9978e+06,2.20280e+06,1.99053e+06,42664.2,26589.1,18456.2,15285.3,23465.8,14386.5,37988.5,62431.8,35740.7,31324.3,26694.8,33658.3,22535.6,18623.9,51040.4,54736.4,51489,40737,27796.1,27461.3,27637.4,30244.7,15417.8,4538.74,4512.92,2639.69,4239.08,2235.05,2795.49,635.312,83059.1,56085.9,59267.1,39533.2,23307.7,11016.5,9073.45,5445.64,70965.1,8420.97,8854.68,7117.02,5760.67,3680.98,4856.88,8003.23,63759.2,73280.7,50936.4,53885.5,56863.4,38279.2,18018.8,11851.4,4712.38,1477.12,4421,4673.81,3620.69,2789.75,3604.06,3005.81,2595.94,2251.31,0.0513
1.8775e+06,1.89290e+06,1.72236e+06,2.25371e+06,2.51965e+06,1.82041e+06,43184.8,27409.3,16207.5,15846.1,16764.6,16962,35668.2,59401,34035.9,30021.2,25334.7,30065.5,21170.4,16841.3,50584.8,53743,50026.5,37061.3,25678.5,25435.5,23892.4,25262.3,8939.02,4360.32,4335.62,3343.29,2762.24,2217.66,1500.64,477.553,67897.6,54287.9,53808.7,37831.6,21934.8,10619.9,8920.74,5196.68,65526.2,7311.74,7781.67,6465.72,5829.32,3902.17,4690.49,5083.87,58978.9,68929.6,48469.4,50353,53429.7,36269.9,16958,10754.3,4591.56,2293.69,4221.31,4582.56,3350.88,2331.19,2633.81,2775.31,1393.69,2816.38,0.0586
1.88307e+06,1.90833e+06,2.17199e+06,2.01544e+06,2.22662e+06,2.27737e+06,44025.8,27678.4,18051.1,13396.5,18264,19251.8,36558.2,62709.3,36273.7,31064.2,26111.6,33263.7,20770.1,18442,51663.9,56160.1,50523.8,39368.8,27055.5,27000.4,24758.1,28606.5,9616.55,4769.83,5017.54,3829.33,3709.69,2872.03,4645.32,1160.54,84071.3,56136.5,56125.9,38459.9,22943.1,10966.3,9292.9,5880.74,74544.3,9031.6,9507.25,8268.7,6095.86,4416.32,5467.36,5574.57,66473.3,76126.1,54752.5,56586.7,58921.4,41711.7,19083.2,12171.8,4048.62,2485.69,4521.31,4454.44,3836.38,3035.75,3152.19,2084.25,2135.25,2322.69,0.0734
1.86662e+06,1.8886e+06,1.6723e+06,2.29636e+06,2.54297e+06,1.7502e+06,41603.9,24565.5,16317.4,13206.5,14862.5,11286.7,35265.7,59415,33551.8,29519.7,25360.8,30474.8,20292.1,17197.1,51115,54429.5,48653,36678.3,25231,24946.4,22691.7,24761,11337.5,4650.43,5072.23,3503.36,4692.88,3757.96,3373.45,847.638,75323.6,56659.7,58359.7,39311.1,23000.4,10964.7,9462.53,5809.78,64967.4,7605.32,7896.65,6782.05,6038.65,3979.29,4264.76,5534.03,57402.9,66662.4,46786.5,48770.2,51556.7,35128.9,16528.8,10991.9,4950.44,2687,4430.06,4215.06,3477.25,2302.44,2794.19,2587.44,2596.38,1031.38,0.0964
1.89476e+06,1.92368e+06,2.08988e+06,2.02609e+06,2.27237e+06,2.26352e+06,41864.7,26583.2,14809.8,14831.8,22120.9,16160.9,36251.9,59799.4,34432.7,30644.6,26090.3,31776.9,21832.7,17816.7,49576.4,51153.4,48032.3,35508.8,24920.7,23996.8,23766.4,24015.6,5982.92,4398.98,4703.33,3245.08,5553.82,2660.95,3566.48,1184.77,64613.8,53256.8,56802.3,39105.6,22373.6,10913.6,9632.17,5490.88,70126.1,8761.95,8989.01,7252.41,5555.22,4064.96,5776.91,6328,62747.6,73736.8,52323.2,54686.3,57430.3,39260.6,17876.1,12334.5,4363.69,2630.81,4294.19,4498.94,3585.94,3252.88,3407.56,2780.62,2174.06,2084.62,0.1293
