"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","B1-A","B10-A","B11-A","B12-A","B13-A","B14-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A","UV1-A","UV10-A","UV11-A","UV12-A","UV13-A","UV14-A","UV15-A","UV16-A","UV2-A","UV3-A","UV4-A","UV5-A","UV6-A","UV7-A","UV8-A","UV9-A","V1-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","YG1-A","YG10-A","YG2-A","YG3-A","YG4-A","YG5-A","YG6-A","YG7-A","YG8-A","YG9-A","Time"
1.97797e+06,2.00672e+06,2.11452e+06,1.88552e+06,2.09137e+06,2.23854e+06,42040.4,25553.8,17079.2,13155.1,17817.5,13894.7,35071.2,59971.2,34130.9,30184.9,25919.5,31891.4,21579.5,18125.3,54627.8,57945.8,51628.6,41406.6,27487.8,27301.4,26453.9,27203.3,12265.3,4757.66,5183.79,4224.06,3882.89,3302.85,3823.22,1201.69,81634.8,57245,60024.4,38115.6,22289.2,10689,8740.77,7512.9,72581.5,8630.87,8970.72,7787.04,6491.85,4305.65,4734.7,6547.43,64424.1,74397.1,52859.8,55508,58747.5,40785.7,18033.6,12494.7,42644.9,22223.7,40241.5,41351.4,32818.1,28015.1,32963.6,28386.9,20487.2,21512.8,0.0219
1.94498e+06,1.96376e+06,2.23618e+06,2.01973e+06,2.23349e+06,2.34138e+06,44866.9,29502.2,20375.3,14402,21207.7,19110.8,37503.1,61252.4,35326.2,31360.2,25907.2,32008.2,22674,18751.5,54846.1,58025.6,53333.2,41330.6,27754.7,28165,27998.4,29054.4,11347.6,4605.24,4764.19,4377.12,4619.73,3421.43,3793.11,2396.38,82434,58529,59520.5,40069,24550.2,10911,9544.06,6817.02,74880.2,9249.9,9702.04,8694.93,6315,4825.81,4512.94,8578.89,67158.8,77195.8,54875.6,58345.4,60118.5,41795.7,18995.1,12586.4,44006.2,21719.4,41520,42832.2,34602.6,27269.8,34849.8,29310.8,21445.3,20999.8,0.0301
1.89929e+06,1.91915e+06,1.80152e+06,2.37544e+06,2.66354e+06,1.9136e+06,43552.1,25823.3,17077.2,13787.4,15272.8,15209.5,35728,57783.7,34306.3,29172,24918.8,29829.3,19414.9,17805.4,49242.8,51913.2,47056.7,35902.6,24179.7,23844.6,23113.3,25933.5,9220.94,4070.63,4815.61,3243.12,5864.59,2952.9,1052.36,2798.82,61225.6,49770.2,54406.6,36794.6,21255,10570.4,8631.17,8007.91,65667,8628.26,7575.38,7025.21,4893.54,3668.12,4441.11,7251.56,59663.3,69323.5,49126.8,51342.3,54390.6,38128.9,17068,11263.9,41810.4,16185.3,39740.8,40785.4,32054.2,27038.8,30084.3,27381.9,17673.3,16391.8,0.0375
2.04009e+06,2.05107e+06,1.86764e+06,1.63858e+06,1.8229e+06,1.94293e+06,40824.2,25714,16738.2,14510,18201.3,13363.8,33204,56935.9,32849.8,28922.2,24787.7,30993.3,20836.9,17113,54338.3,57723.9,52372.8,40257.5,28754.6,29049,27352.6,29857.3,13680.7,5073.89,4986.61,2739.09,3376.83,2124.56,3475.04,2922.32,86859.3,57086.3,57483.1,39475.1,23295.3,11095.2,9210.25,8272.01,68297.5,8449.79,8319.77,7324.02,5754.88,4647.83,5205.84,6498.7,61145.4,71064.3,49267.2,51917.6,53544.8,37149,17213.6,10983.4,44518.9,26014.9,41415.1,43945.9,33332.5,28795.7,35179.8,31669.1,21536.8,23181,0.0487
1.93215e+06,1.94465e+06,1.86779e+06,1.95183e+06,2.18115e+06,1.99439e+06,42022.8,29108.6,18264.5,16440,14396.8,17175.5,37105,59315.4,34810.5,30279.2,25318.3,32756.2,22249.6,17893.9,52457.9,55145.2,50206,38082.8,27133.2,26390.4,24762.2,27353.7,9088.71,4761.34,4544.56,3463.94,5117.06,2931.4,3038.57,1736.84,76033.1,56507.5,59830.9,41396.9,23735.7,11537.5,9281.68,8408.75,69551.9,8126.96,8804.32,7455.67,6044.65,4428.96,4472.75,6047.97,61865.9,71120.9,49758.5,52385.8,55165.3,37879.7,17222.6,11418.4,42887.3,21532.4,40635.9,41126.4,32010.4,27794.4,32801.1,27759.9,20587.4,21974.7,0.0693
1.96641e+06,2.01098e+06,1.89282e+06,1.90297e+06,2.11418e+06,1.99606e+06,44265.5,25051.1,18943.4,15386.4,17576.4,18278.6,36954.5,59923.5,34505.5,30145.7,25394.7,31851.4,21007.3,17546.8,53372.1,56471.7,51601.9,38712.1,26616.1,27168.6,25468.7,28139.7,11418.2,4448.43,5335.32,3487.93,4594.62,4770.96,2959.01,1392.88,86698.2,58548.1,58358.4,39750.3,22945.2,10207.5,9710.9,7595.07,71178.3,8835.26,8601.7,7541.55,5871.27,4137.5,5491.23,6697.93,63294.6,72873.9,51563.7,53841.3,57047.8,38376.1,17614.4,11699.4,42598.4,22304.9,40029.8,41895.1,32728.1,27230.4,32410.4,29334.8,20319.1,22568.4,0.0714
1.91124e+06,1.93063e+06,2.02335e+06,2.33863e+06,2.60126e+06,2.13433e+06,42246.3,26828.5,17613.3,13834.9,14280.1,16227.7,36820.9,60229.7,33565.1,29639.9,25490.8,30549.5,21054.6,16960.3,52992.3,56228.9,49402.3,38099.2,25625.2,25132.8,23501.2,27052.5,9619.05,4410.79,3914.42,3789.49,5164.67,2692.36,1578.07,2215.28,64766,54467.5,57091.8,36931.7,22871.7,10388.9,8452.68,8516.81,69042.1,8056.05,8052.8,6663.68,4901.3,3127.06,3952.53,5207.11,63279.4,73168.4,51903.1,54417.1,56366.7,39588.6,18141,11390,43031.1,19466.6,40540.4,41661,32804.2,27072.5,32054.4,26902.8,18395.6,16563.1,0.0776
1.88239e+06,1.91949e+06,1.83045e+06,2.30039e+06,2.55642e+06,1.92284e+06,42694.5,25707.5,18802.4,14343.4,13738.6,13540.3,35143.6,58625.4,34027.5,29250.1,24836.6,31703,20766.5,17961,51944.1,54095.2,48960,36384.9,26191.3,25658.1,24510,26683.1,7369.68,4693.77,4840.37,3420.06,4829.15,2409.26,4235.69,972.681,70008.8,53389.2,56971.4,37747.4,22977.1,10331,8818.08,7037.48,67028.6,8259.88,7903.93,7342.95,5578.53,4325.43,4156.49,6463.39,60530.9,69850.3,49027.5,52128.9,54893.8,37672.7,16962.7,10872.4,41806.7,16897.2,39711.4,40895.4,32583.2,27095.5,32464.6,27559.1,18971,17917.4,0.0927
1.98651e+06,2.01892e+06,1.94335e+06,1.89033e+06,2.09856e+06,2.03546e+06,41873.9,27135.2,17332.6,14608.1,17141.2,18189,34635.5,59882.4,34313.8,30329.5,25427.5,31142.5,21106.7,19004.3,53325.8,57598.7,52584,40756.9,28115.8,28857.1,27560.8,28115.3,12176.9,4589.75,4995.69,3971.83,4766.98,2168.43,2856.41,1470.36,87286.9,56530.5,57110,39726.7,23380.6,11291.9,9199.74,7880.19,72050.5,8477.97,8021.94,8136.71,5693.15,4341.04,5292.78,7483.92,63713.9,73523.4,52155.3,55325,57502.9,39772.2,18107.4,11546.7,43156,20879.2,40535.8,41715.9,33322.6,27649,33791.1,28634.8,21047.2,20486.7,0.0984
1.87896e+06,1.91542e+06,1.85505e+06,2.19435e+06,2.44334e+06,1.95534e+06,42856.7,27435.7,20460,14630.2,14476,15887.6,36219.1,60358.5,35613.9,30260.5,25755.8,31806.4,21152.4,17596.8,54919.5,57105,52712.6,39507.8,27606.9,26420.6,25349.8,25630.9,10162.3,4956.8,5037.08,3652.57,6171.67,2083.65,3150.56,1534.31,74879.1,55769.6,57410.6,37426.4,23005.4,10309.6,9582.83,7333.23,68524,7974.41,8236.43,7488.16,5454.16,4146.89,4371.62,5637.22,61553.1,70471.5,49999,52274.6,55417.5,37994.3,17422.4,11235.7,42550.1,22210.1,40537.9,42158.8,34349.1,27440.8,33016.1,29603.9,20473.5,20522.7,0.1074
2.02339e+06,2.04156e+06,2.14126e+06,1.93436e+06,2.13198e+06,2.1964e+06,44452.9,25494.7,17521.4,15012,18320.1,21638.7,37478.8,61540.2,35382.9,30226.4,25672.5,31808.3,20704.3,16417.2,54369.1,57633,52533.2,41334.4,29255.3,28447.3,28935.5,30932.7,15445.5,5243.94,5713.3,3433.89,8091.33,3842.45,2717.83,496.731,89320.1,59656.3,60211.1,40665.8,24442.5,11913,9372.05,8374.25,77236.6,8942.82,9302.58,8136.14,6630.27,4599.52,5399.35,9795.26,67501.3,78370,55420.6,57344.8,60688,41344.7,19648.5,12294.3,44971.3,18263.2,41036.1,42470.8,33941.4,29198,33505.2,29873.7,21148.8,19406.8,0.1182
1.86953e+06,1.87112e+06,2.12602e+06,2.17935e+06,2.37548e+06,2.17036e+06,43093.9,26491.5,18103.8,14847.3,17287.1,17285.6,36493.7,60733.9,35153.6,30637.5,25844.8,32329.8,20993.9,18177.9,55405.1,58284.1,52877.1,38315.8,26211.3,26955.3,24561.9,25371,9154.79,4736.46,4463.16,3057.63,5189.73,3128.88,3162.79,513.594,77134.4,53817.7,53790.6,37433.2,22286.6,10293.2,8273.79,7193.1,71034.4,8413.98,8520.91,7922.64,5824.02,3868.84,4896.29,6301.23,63251,73057.6,51729.3,54412,56940.9,39519.9,18152.6,11580.9,43260.6,19960.1,40977.4,42847.5,34463.1,27772.1,32464.6,28715.8,18838.1,17661.7,0.1251
1.90163e+06,1.91937e+06,1.75261e+06,2.17329e+06,2.4065e+06,1.84179e+06,45602.7,26406.8,18502.9,16011.5,19411.7,16960.8,38633.4,62508.8,36117.9,30767.2,26327.1,32274.7,21022.5,17927.1,53150,55918,53096.2,38595.5,26930.1,26488.9,25167.3,27944,13672.2,4481.92,5990.82,3992.08,4971.35,5215.74,2173.01,806.312,79342.6,55355.1,59143.1,39912.4,23169.4,11004.3,8090.85,8014.62,67660,8056.33,8503.39,7425.79,6095.5,3589.52,5052.87,5839.77,60823.3,70062,49357.6,52367.7,54909,37849.9,17700.5,10349,42952.4,20779.4,39944.2,42007.7,32918.6,28610.8,33659.2,28182.4,19203.1,20246.7,0.1274
1.89554e+06,1.92115e+06,1.84982e+06,2.09153e+06,2.33175e+06,1.95561e+06,44700.8,25291.6,17157.2,17395.9,13682.5,15635.3,36997.3,60696.9,34304.9,29922.4,25462.1,32276.3,21724.2,17803.2,54426.5,57523.9,52479.1,39347.4,26790.4,26064.8,25737.1,27932,12618.3,4923.02,4855.75,3900.58,6552.39,5429.07,5452.35,531.228,81377.9,55822.8,57739,38664.5,24002.3,11210.6,8754.13,7751.11,68436.3,8081.69,8063.89,6684.16,5529.37,4201.83,5027.58,6113.58,61234.3,70937.9,49698.2,52812.9,55322,38117.9,17414.4,11639.5,43302.5,25019.1,40433.1,42219.8,34507.4,27554.9,32939,28517.9,19402.9,20270.8,0.1325
1.96007e+06,1.9533e+06,2.1176e+06,1.93343e+06,2.0971e+06,2.13532e+06,45687.7,26805.6,16456.4,14292.2,19269.6,17918.4,37044.7,64452.3,37506.6,32003,27101.7,32400.7,23140.6,17441.2,54530.4,58296.1,53616.7,40080.3,27387,28029.7,27444.6,29514.8,14700,4941.9,4621.93,3345.6,4514.4,5346.24,5286.04,2087.39,86560.7,57673.9,58463.4,39838.1,24254.1,10761.9,9151.11,8209.31,73796,8871.56,9633.96,7642.05,6441.21,3720.74,5757.84,7554.4,65688.9,75141.3,53114.6,55580.2,58279.5,40372.4,19214.3,11868.7,43265.1,17143.6,40522.5,43202.2,33753.1,27916.8,32492.1,29517.9,20934.5,20091.5,0.1329
