"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","B1-A","B10-A","B11-A","B12-A","B13-A","B14-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A","UV1-A","UV10-A","UV11-A","UV12-A","UV13-A","UV14-A","UV15-A","UV16-A","UV2-A","UV3-A","UV4-A","UV5-A","UV6-A","UV7-A","UV8-A","UV9-A","V1-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","YG1-A","YG10-A","YG2-A","YG3-A","YG4-A","YG5-A","YG6-A","YG7-A","YG8-A","YG9-A","Time"
1.81351e+06,1.81452e+06,2.10341e+06,1.61585e+06,1.81996e+06,2.24566e+06,2048.36,671.681,590.389,472.356,1124.48,889.079,1303.35,2279.15,1169.18,740.552,1147.09,1557.04,592.323,644.831,1151.65,827.925,1296.88,865.266,1235.78,853.453,362.119,542.522,1129.67,138.344,330.837,276.628,332.975,0.178125,81.225,274.194,3088.98,2164.04,2603.06,1706.38,874.95,372.875,407.491,2344.48,5629.94,424.033,387.449,421.137,425.586,-219.573,707.874,529.829,2552.25,2683.26,1898.68,2646.18,2405.98,1975.66,447.127,275.579,2007.56,714.25,1648.69,1304.88,1087.69,720.562,1217.12,948.812,1043.12,589.125,0.0064
1.87708e+06,1.91112e+06,2.15319e+06,2.11399e+06,2.37228e+06,2.31028e+06,1634.91,1382.48,932.811,1072.64,1164.27,573.506,1409.78,2790.7,1416.4,1364.19,745.163,1784.41,843.041,968.809,1404.18,1159.66,1260.13,1178.82,603.028,674.822,1060.04,931.35,2431.88,94.4656,745.097,515.434,284.288,600.341,95.1188,470.784,2478.67,2028.84,2362.41,1333.32,964.725,678.478,765.7,2696.81,5378.09,1131.55,374.807,144.357,-243.162,409.342,258.629,164.062,3012.86,2706.77,2269.39,2253.29,2573.15,1884.77,729.344,-59.325,1996.44,1644.81,1570,1247.62,1242.75,1400.44,1079.69,979.312,297.125,349.438,0.0095
1.86255e+06,1.89537e+06,1.67888e+06,2.2868e+06,2.56494e+06,1.78229e+06,2393.31,612.701,1141.66,585.183,748.956,939.208,1669.42,2526.82,998.633,1226.37,868.031,1231.58,551.491,698.753,853.191,968.034,1116.22,785.794,479.981,182.897,559.191,609.066,1219.86,240.35,378.872,43.0469,413.962,-77.0687,487.35,180.856,3410.86,2286.41,2086.97,1660.78,981.231,177.531,539.837,1608.05,4570.36,503.839,558.714,506.946,61.8675,702.86,235.393,879.987,2732.91,2851.48,1568.3,2028.84,2053.92,1219.13,937.194,475.024,1566.88,350.688,1483.56,1645.62,1567.31,1324,978.125,1111.12,1168.56,570.938,0.0161
1.91909e+06,1.94486e+06,1.66004e+06,1.47437e+06,1.65031e+06,1.73079e+06,1157.57,1263.93,683.878,1148.2,1021.62,1153.93,1466.97,2220.91,1206.66,1402.27,834.711,1505.13,1053.08,902.689,1363.95,1304.1,1175.61,869.794,393.028,282.45,433.781,317.822,1679.42,23.3344,321.041,352.688,151.228,620.35,576.65,874.891,3696.98,2549.38,2394.53,1543.33,1014.18,570.475,138.819,1990.84,4434.33,302.063,366.261,313.434,375.019,210.674,367.391,229.319,2089.72,2525.83,1941.2,1868.31,1221.95,773.768,588.377,-47.46,1935.5,514.562,1579.69,1835.56,1275.94,1489.12,949.5,1462.06,867.25,1182.69,0.0187
2.04309e+06,2.01833e+06,1.81582e+06,1.84574e+06,1.99891e+06,1.80404e+06,1395.65,963.751,588.381,501.585,470.719,515.865,932.291,2373.46,1469.65,1371.85,1366.94,1711.07,967.247,806.299,1381.93,1562.14,1025.59,1047.18,781.134,674.297,494.747,313.556,459.622,297.112,457.188,156.809,-198.134,118.809,-214.819,110.912,4238.6,2385.51,3337.17,1710.47,834.1,578.966,455.406,2210.18,5004.28,511.396,63.5625,520.93,43.3638,680.26,830.691,39.9738,2373.64,3038.08,1377.4,1756.02,2263.25,1512.22,406.023,565.989,2292.06,1344.88,2005.69,2062.75,1725.38,999.25,895,1662.94,1360.62,1011.69,0.0192
1.90049e+06,1.90896e+06,2.11849e+06,2.18046e+06,2.40129e+06,2.18566e+06,2186.77,805.779,993.65,558.482,379.089,1276.05,1549.08,2603.57,1539.41,1267.2,1748.56,1123.36,850.478,1297.32,965.606,2065.22,1045.87,762.431,927.084,811.059,1101.97,606.572,248.662,175.988,426.788,288.266,-162.806,-30.5187,-123.025,165.894,2952.42,2445.95,2593.32,1330.89,1055.21,568.872,157.344,2726.44,4476.71,537.386,259.617,326.782,355.244,289.633,690.783,356.021,2406.69,2813.91,1916.27,1761.81,2364.74,1141.86,643.747,169.147,1661.44,773.75,1446.75,1806.69,1581.19,1019.62,1248.25,825.625,862.938,1032.12,0.0208
1.8613e+06,1.88106e+06,1.71803e+06,2.02896e+06,2.2837e+06,1.85155e+06,2129.88,1099.19,496.453,522.782,1033.66,278.163,1204.58,2779.54,1157.72,1144.78,922.473,1394.31,452.498,1222.8,1207.37,1216.29,1402.41,717.478,802.2,464.887,870.778,1176,661.022,256.441,360.941,209.594,-78.0781,-231.8,316.766,-16.625,2505.68,2432.36,2324.71,1738.68,1427.49,226.159,728.116,1618.44,4746.56,126.066,57.2769,510.831,-219.785,620.864,312.798,233.769,2448.22,2527.81,1650.01,2420.88,2436.84,1897.06,730.898,813.883,1774.31,1177.56,1162.12,1736.31,1292.31,1123.5,1777,790.062,100.75,471,0.0485
1.85014e+06,1.87717e+06,1.71858e+06,2.27319e+06,2.55734e+06,1.83747e+06,2245.08,775.136,633.08,302.483,-103.902,1605.46,1572.51,2492.46,1159.36,1857.44,940.546,1472.33,885.434,156.634,1277.13,1324.84,1268.79,1281.39,735,262.237,739.462,786.647,1368.77,-30.4,738.447,99.3937,-133.178,637.153,-124.153,406.066,3036.08,2121.41,2438.89,1957.53,1063.76,-2.55312,753.766,2488.23,4170.83,462.452,268.304,921.232,736.195,254.109,432.084,261.807,2378.93,2842.59,1632.92,1986.96,2000.03,1416.53,393.946,297.261,2230.38,364.25,1327.62,1527.81,1385.12,1103.5,1058.31,956.938,593.312,669.75,0.0603
1.99587e+06,2.00736e+06,1.91798e+06,1.83272e+06,2.00541e+06,1.97071e+06,1707.95,1282.45,1403.31,1990.42,617.387,2420.16,1878.71,3256.06,1874.03,1772.95,943.447,2088.6,1463.77,1196.02,1710.91,1705.53,1521.32,1803.18,834.947,1095.28,1623.96,1482.07,1912.71,176.878,1735,867.944,2234.99,297.587,1927.85,102.303,4042.9,2607.81,2860.03,2051.41,1421.73,874.712,1186.25,2668.67,5660.52,943.338,1356.71,1984.77,552.005,672.491,1569.36,1756.73,3083.7,3014.35,2054.41,2056.39,2307.18,2014.15,1166.3,1394.63,2432.56,1422.75,2419.06,2319.5,2102.19,1702,2256.38,1930.81,2120.06,1500.12,0.0637
1.94903e+06,1.96726e+06,2.16719e+06,1.91977e+06,2.10756e+06,2.20844e+06,2543.4,1196.99,720.322,352.761,651.971,1135.04,1625.24,2948.3,2068.67,1520.23,1166.35,1736.81,513.188,517.278,1052.23,1102.17,1033.86,846.431,460.031,368.419,674.428,939.422,1224.25,575.522,601.706,239.4,420.019,94.7031,817.712,266.237,4112.55,2773.82,2606.03,1864.61,1261.6,243.556,656.628,2094.22,5986.17,-22.8825,638.45,514.432,96.8975,-103.748,40.3269,237.724,3218.45,3340.99,2535.3,2308.45,3033.98,1647.82,1144.97,871.442,1825.69,600.062,1381.81,1951.75,1261.19,1010.5,1263.06,1089,693.062,1331,0.0858
