"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","B1-A","B10-A","B11-A","B12-A","B13-A","B14-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A","UV1-A","UV10-A","UV11-A","UV12-A","UV13-A","UV14-A","UV15-A","UV16-A","UV2-A","UV3-A","UV4-A","UV5-A","UV6-A","UV7-A","UV8-A","UV9-A","V1-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","YG1-A","YG10-A","YG2-A","YG3-A","YG4-A","YG5-A","YG6-A","YG7-A","YG8-A","YG9-A","Time"
1.85853e+06,1.8832e+06,1.77184e+06,2.33867e+06,2.63145e+06,1.88579e+06,324372,268359,179501,153130,186487,155866,274093,453176,272505,250127,226931,299684,204591,173776,422830,447117,409855,313001,216469,211122,200184,214186,34290.9,63213.2,57187.4,43802,49904.4,28242.8,26556.7,13356.6,257092,227460,257053,184108,141209,103544,110311,85014.5,432448,146071,155285,143078,113498,78495.3,93608.5,113541,410682,484195,373661,419090,451570,330781,203005,155962,333237,165009,331074,352678,295903,245412,290662,262638,177673,186754,0
1.87733e+06,1.92006e+06,2.29079e+06,2.09457e+06,2.3331e+06,2.39078e+06,339682,282754,185540,162417,188902,180596,285731,472223,285738,263812,238138,320131,216799,184577,465501,494624,454928,352885,243707,242336,232073,252572,38788.2,65102.6,58226.9,46697,52955.6,39905.6,31786,11789.4,323526,242068,264270,190824,145544,106048,110298,88674.8,509221,167718,183386,171945,135619,99082.2,115343,143763,470168,551791,424479,475033,512093,376251,233344,178248,345243,209255,341450,366537,314363,258164,314419,288980,200681,199379,0.0012
2.03639e+06,2.04838e+06,1.95198e+06,1.79895e+06,1.97448e+06,1.98205e+06,331094,265881,178866,154787,182895,169361,283040,466077,279873,256006,230912,303077,208312,181525,455806,491895,456216,354180,247347,251621,250513,263995,37888,62857,60463.2,46193.6,56194.9,36923.4,41071.5,15059,320327,229949,256754,181226,140766,102191,107202,83617.2,478198,156404,171499,161563,130581,95024,117751,145453,438638,514747,393953,439775,472367,349420,216180,165564,348517,214004,344909,371333,320619,264123,317764,293481,205374,214384,0.0124
1.83575e+06,1.86758e+06,1.7699e+06,2.20058e+06,2.43488e+06,1.829e+06,347058,281690,189013,156376,185629,182311,293656,479182,287392,265312,240394,323450,215814,183177,450801,483764,447110,344886,243029,242459,231756,246992,39320.1,67295.6,65549.4,46712.2,63012.8,36972.9,27971.8,15072.5,337421,249248,274632,200385,149381,109996,113823,90855.1,456675,150642,166148,154325,123529,89955.6,107329,128177,423638,494840,377903,423806,456045,335877,206515,158330,337385,185083,334286,357926,308806,253048,305951,280958,196432,203327,0.0194
1.86535e+06,1.89112e+06,2.03032e+06,2.14594e+06,2.38196e+06,2.12673e+06,332611,278100,187643,154886,186142,172775,283090,469636,280634,258774,234237,313459,212166,180808,453257,484478,445702,342470,238001,238764,224468,244385,38577.8,62711.5,59177.9,45319.9,55605.6,40839,27693.7,13747.5,297119,228650,255912,179254,138442,101216,105852,83982.6,470538,156275,170046,159057,125189,90116.8,106801,125742,434254,512670,391725,439110,471330,348215,215459,164645,339542,199828,338741,362457,308760,256273,309711,283103,194316,188583,0.0245
1.8524e+06,1.88987e+06,1.939e+06,2.21198e+06,2.49381e+06,2.08706e+06,332745,263552,185849,157859,168760,155598,277505,462802,275702,253782,229737,306051,206534,177673,425349,449774,406344,315513,218031,212758,202631,216695,35364.3,63207.4,57438.7,45504.1,51477.5,35266.6,30026.6,16125.6,256310,227068,261513,188756,144574,104428,107205,84234.9,448809,150398,160331,147504,115863,79808.3,92933,116611,423405,500471,384446,430731,464974,341351,209028,160384,334825,183513,332297,351543,300150,245530,295290,265143,181953,183176,0.0309
1.88307e+06,1.90915e+06,1.91881e+06,2.00229e+06,2.20145e+06,1.9637e+06,353923,280184,189641,154418,177811,166677,292965,484034,290107,267158,241076,318149,215907,187549,458638,491716,459464,356918,247530,248539,246471,261048,40720.2,64947.4,60024.6,44601.4,51468.1,40896.6,36242.8,13776.7,330391,237710,259996,187038,142543,106349,109439,86752.3,476138,156910,171475,160256,130178,94817,112383,137927,437514,512585,391755,437802,471468,347498,215023,165056,344651,193346,337893,363409,314614,258328,309566,283658,202192,206977,0.0456
1.97643e+06,2.00156e+06,1.8769e+06,1.66487e+06,1.85996e+06,2.01628e+06,319970,273066,180367,155725,184672,170958,267376,449479,270667,248489,228858,304367,209365,177767,443508,466377,432574,335670,229134,224701,218865,234697,37774,67176,61899.6,47873.2,60665,37892.1,28183.2,14229.2,301460,244334,271652,192178,144877,105015,109733,87820.1,465998,153761,168129,156888,123737,87297.9,101397,135199,431616,506463,385333,432017,463906,342379,211028,161900,334994,213729,333553,358589,304564,255761,305920,277626,194358,199927,0.0457
1.99606e+06,1.9988e+06,1.87788e+06,1.65264e+06,1.83742e+06,1.92362e+06,322040,269268,176538,153395,172766,175841,272235,447092,267912,246096,222001,296977,201864,173041,457326,491408,451574,355790,247525,251997,246536,270472,45579.5,65169.7,61697.8,48108.2,57420.4,35543.3,36789.3,14444.5,336113,238409,257722,189980,141003,104992,109263,86874.9,460654,151220,166851,155583,124583,89434.4,106805,145859,421723,497118,379840,424003,456480,336786,208537,160666,354058,228820,350921,376219,323606,269680,326605,297186,209265,214358,0.0489
1.87398e+06,1.90694e+06,1.82228e+06,2.06958e+06,2.31966e+06,1.93204e+06,339890,278933,186563,164678,186691,172322,284936,466741,280345,258990,233986,316611,212711,183767,445744,474236,436570,332638,234591,230508,221308,240283,37717,68670.6,63691.6,50062.7,62055.6,38832.9,33585.8,17574.5,322288,251032,281437,200636,152144,110861,116417,90483.7,457692,151322,164480,153372,122953,86786.9,103130,130097,426021,497539,378420,425349,458334,336298,208656,160425,334348,203200,331354,357370,303570,254797,305168,277474,190155,203896,0.0556
1.874e+06,1.90374e+06,2.05255e+06,1.97037e+06,2.14026e+06,2.08575e+06,356802,288588,187256,156645,181158,170204,299533,493362,294495,271565,244005,319323,220713,187064,460704,493154,456634,355064,248203,248947,246188,262328,41717.2,63549.1,60560.1,45138.7,54599.9,40471.2,34365.7,14445.9,325814,235487,261562,187575,142083,106520,109339,87476.5,482870,158963,176172,163566,131808,95767.7,110661,142647,445640,520298,397258,444082,479691,352336,218101,167657,342611,192202,339481,365309,315767,257037,309508,286820,199560,191394,0.0571
1.97149e+06,1.9978e+06,1.82344e+06,1.8764e+06,2.07029e+06,1.88559e+06,338053,272770,190586,158952,201222,171780,282471,473603,279608,258000,235063,310227,213315,180726,453779,490155,453989,351099,246244,248028,241207,253622,47943.7,65218.9,60428.3,46400,54335.9,36393.6,34163.8,14167.1,343111,241100,267916,194336,146009,107237,110839,88012.3,468752,154522,168367,158522,126007,93051,111758,143190,435531,509373,388880,432871,468616,343625,212218,163938,341509,220540,338192,365969,309235,258665,314064,287872,200562,208927,0.0686
2.03615e+06,2.04841e+06,1.90604e+06,1.65545e+06,1.83408e+06,1.97960e+06,317668,263380,177102,154180,180582,184354,265062,448173,267537,245166,223422,294170,200534,175346,453564,485934,455146,353707,250419,251199,248384,267808,41846.6,62628.6,57932.8,43539.1,47746.5,37705.4,33904,15075,333777,227673,251343,182041,135591,101186,105610,83205.2,463039,152489,167919,156828,127402,91714.9,112361,148557,427959,501735,382959,428118,460144,338996,210912,160690,348780,223337,344724,369800,319215,266304,318863,291064,210379,216905,0.0696
1.85508e+06,1.87781e+06,2.12104e+06,2.08539e+06,2.2694e+06,2.17705e+06,348420,279213,185152,150946,166602,177038,294146,485573,289624,268027,240659,322838,217454,186663,460632,493736,453886,350392,243641,243793,237911,248302,34729.3,63514.3,61693.5,45494.4,48779.7,36757.6,30234,15633,322216,233415,256423,188072,142172,104463,108178,84730.9,483625,158823,175519,163355,131284,94520.5,109547,133972,442796,520879,399694,444696,479213,352713,218363,168057,346220,196268,341027,363484,313094,259632,312153,282261,196990,196818,0.0754
