"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","B1-A","B10-A","B11-A","B12-A","B13-A","B14-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A","UV1-A","UV10-A","UV11-A","UV12-A","UV13-A","UV14-A","UV15-A","UV16-A","UV2-A","UV3-A","UV4-A","UV5-A","UV6-A","UV7-A","UV8-A","UV9-A","V1-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","YG1-A","YG10-A","YG2-A","YG3-A","YG4-A","YG5-A","YG6-A","YG7-A","YG8-A","YG9-A","Time"
1.87884e+06,1.89324e+06,786809,1.99331e+06,2.17451e+06,829261,16641.9,9538.59,6295.17,4607.23,4117.55,6347.16,13279.6,23036.5,12582.5,11371.9,8898.37,11326,7723.32,6043.64,18140.7,19057.4,18757.1,13825.4,9691.89,10199.4,9594.96,9831.35,4917.62,1817.88,1598.67,1348.17,869.903,419.306,572.078,1650.51,28415.8,19376.5,19937.2,13693.5,7607.24,3068.38,2911.1,3287.12,12704.4,1184.03,1219.55,1348.58,911.557,341.26,409.696,1266.17,10488.4,11968.5,7746.71,8560.32,8790.27,6394.1,2638.55,1723.53,14899.4,5734.5,14325.1,14943.3,11148.9,9229.69,12632.5,9966.31,7078.5,7807.75,0.0286
1.87913e+06,1.86905e+06,948291,2.39203e+06,2.63751e+06,1.02836e+06,14609.8,8211.08,5556.63,5478.24,4320.59,4385.08,12682.1,19777.8,11645,9928.47,8186.83,10561.6,6499.56,6132.14,17471.9,18096.4,17117.8,12383.4,8192.17,8046.41,8656.27,8085.46,3149.61,1447.98,1894,603.666,834.872,782.919,729.125,83.0062,25943.8,19566,18552.8,12757.2,7428.58,3600.56,2925.29,3217.83,14488.4,1023.29,1508.2,1351.97,1163.41,1044.47,945.174,1437.36,12291.6,13836.1,9525.76,10009.6,10342.7,7360.04,3115.06,1447.6,14663.7,6775.81,14409.2,14008.8,11056.1,9733.44,10505.9,9132,5910.75,6005.38,0.0316
1.90032e+06,1.93765e+06,741424,1.94503e+06,2.17016e+06,804458,15473.6,9854.99,6681.7,5244.7,3851.21,5029.61,12470.4,19463.4,11995.6,10167.4,8507.91,10418,6872.99,5293.64,17841.6,19055.2,17777.6,13620.1,9170.7,8794.54,9880.7,9472.38,3496.24,1218.2,1641.9,992.809,1131.45,911.763,1873.76,1192.67,28911.3,19361.2,19178.2,12695.4,7906.79,2918.4,2566.13,3385.32,12440.5,878.363,1661.67,1448.87,1432.84,405.388,1087.13,1622.54,9642.01,11102.6,7797.28,8100.26,8517.59,5864.77,2733.4,1710.4,15207.9,9513.5,14135.5,14805.4,11382.8,9675.75,10848.4,9931.19,7410.5,6511.62,0.0343
1.92633e+06,1.93686e+06,709546,1.91306e+06,2.08056e+06,745281,16115.2,8745.01,5810.4,4071.66,5595.38,5568.23,13080.9,22040.7,13032.9,10790,9459.31,11300.8,6965.44,6537.56,17652.7,19147,17383,13248.4,9140.12,11016.7,10005.4,10258.6,3308.2,1180.55,2118.32,1122.6,3157.5,832.734,972.384,289.987,29008.6,19798.2,21640.8,12909,7494.37,3327.61,2650.92,2949.99,11596.3,1157.9,1213.48,1382.34,1070.32,802.936,830.197,552.217,9648.72,11049.6,7269.36,7837.68,8537.29,5574.5,2556.06,1398.66,15171.5,8909.06,13722.4,14574.1,11832.4,9337.75,11764.8,9644.25,7481.94,5555.44,0.0373
1.88328e+06,1.91974e+06,714247,2.0076e+06,2.2117e+06,761284,16362.5,8300.33,6412.46,5137.01,5103.76,5794.63,12906.7,20530.3,12465.8,10617.8,9154.08,10631.4,7747.12,6216.19,17828.2,19347.9,17794.8,13798.4,9765.85,8966.21,10353.3,10619.5,5446.65,1299.54,1809.16,1719.8,1384.57,1559.9,892.347,-212.266,31252.1,20995.7,20771.4,13179.8,8064.25,3603.82,2403.92,3841.27,12795.8,1391.31,1163.55,1068.77,1051.89,432.154,436.745,1636.95,9900.35,11800.4,8129.57,8818.38,9075.1,5821.05,2876.13,1598.39,15045.9,6448.5,15145.1,14989.4,11924.2,9629.31,12350.5,10246.3,7366.5,5479.5,0.0408
1.86909e+06,1.90551e+06,937869,2.05683e+06,2.3048e+06,1.02466e+06,13624.7,9310.11,5767.78,4048.83,8777.07,5247.97,12626.8,21224,12390.4,9544.77,8918.68,11439.8,7501.54,6088.78,16809.8,18221.7,17877.8,12473.4,9344.54,9327.61,7858.66,10168.9,3300.12,1085.55,1992.39,973.809,1718.43,930.822,1474.64,973.216,22757.4,17803.7,19513,13067.2,7521.74,2887.47,2878.62,3488.28,14292.9,1457.49,1054.36,1370.41,1148.15,539.928,1340.74,2060.55,11744.4,13682,9571.24,10297.3,10164.2,7463.16,2884.18,1647.68,14771.1,7163.69,14017.4,14693.5,11800.8,9459.31,10816.4,9428.31,7132.25,7192.56,0.0441
1.87488e+06,1.89834e+06,836502,2.0835e+06,2.33601e+06,916364,15259.3,8281.06,6329.16,4899.97,7056.48,4978.07,13209.7,21114.8,12113.6,10585.4,9389.4,10822.5,6733.24,6398.7,17408.5,18529.2,17342.8,13711.9,9517,8975.33,8517.4,8757.92,3921.42,1197.12,1863.84,809.756,989.544,1524.16,-313.678,310.709,25383.9,19972.6,18943.3,12298.8,7182.12,3411.81,2437.28,3337.59,13872.9,1262.14,939.101,960.712,1108.6,380.527,793.331,1177.74,11780,12721,9460.29,9588.83,9672.38,7236.31,3048.6,2067.26,14677.2,7865.75,14223.2,14490,11227.7,8699.44,12247.9,9326.31,6752.75,5493.38,0.0452
1.89052e+06,1.89522e+06,845350,1.95647e+06,2.11819e+06,882633,15497.1,10588.9,6301.72,4827.01,4049.94,7956.49,13255.6,22995.9,12956.3,11142.4,9422.05,11028.6,7861.81,6391.49,17941.3,19137.2,17883.1,13613.2,10148.2,10148.8,9382.34,10080.1,3808.19,1335.82,1994.7,1253.58,963.656,522.975,1383.67,512.763,29506,19857.2,19443,12874.2,7758.23,3283.26,2972.91,3042.2,12957.9,949.2,928.013,1402.68,801.735,341.048,326.358,653.281,10359.7,12209.9,8057.32,8857.08,9283.37,5883.06,2838.14,2173.7,14922.4,6689.88,14366.9,14941.4,11616,9826.62,11571,10212.8,6829.38,7772.31,0.0488
1.88692e+06,1.91512e+06,1.11664e+06,2.277e+06,2.54804e+06,1.23493e+06,14797.5,8143.17,5714.83,5030.58,6138.32,5475.19,12152,20608.3,11585.9,10041.7,8638.73,10412.5,6943.58,6088.78,16695.9,16642.6,16176.6,12411.3,8394.68,8719,7028.7,9652.52,2419.77,1224.79,1989.72,1195.99,2163.39,1753.05,167.319,769.737,23892.3,18610.7,20305.1,13258.1,8003.75,3633.63,2314.2,4135.77,16033.2,1784.69,1912.17,1144.12,1307.55,-91.6006,377.349,825.324,13202.4,14970,10111.4,11118.4,11743.9,8070.53,3352.78,2156.75,14845.7,8523.19,14148.2,14785.6,11395.6,9459.12,10910.8,9478.06,7194.62,6527.56,0.0653
1.89965e+06,1.90954e+06,704868,1.95465e+06,2.12204e+06,739092,16546.1,9423.16,6206.15,5638.44,4965.05,5356.04,13072.7,21898.2,12521.6,10689.5,9094.95,12278,7499.45,5668.79,17533.8,18583.2,18057.8,13432.2,9501.97,8944.23,8553.63,10377,4856.58,1047.73,1655.02,1493.58,1216.71,655.559,241.122,563.944,27233.3,18833.4,19962.3,12987.9,7846.82,3491.01,2882.3,3275.42,11368.6,1110.79,1315.89,1097.8,1248.65,257.216,1116.79,1132.82,9557.05,10328.8,7168.72,7330.45,7851.31,5886.31,2301.24,1525.29,14943.3,6843.75,14385.4,14494.1,11665.2,9693.69,12462.4,10137.5,7080,8833.81,0.0666
1.96234e+06,1.9784e+06,811693,1.91623e+06,2.09495e+06,853301,15231.3,7586.25,4681.98,5319.75,6917.1,5181.11,12913.7,20804.7,11535,10800.8,8979.29,10792.2,6918.44,6826.58,18370.9,18548.9,18215.1,14312.4,10085.1,10206.3,10318.3,9942.25,5132.79,1392.94,1443.05,1126.7,1232.62,1434.97,1319.02,1827.86,29634.2,20213.9,21563.2,13263.7,7429.3,3265.68,2480.33,3476.58,12999.7,691.136,1308.4,986.631,179.458,848.347,902.658,1229.16,9941.53,12315.2,8407.2,8230.14,8846.21,5847.19,3227.21,2222.29,14968.3,6756.38,14668.9,15345.9,11407,9595,11380,9885.94,7129.31,8239.75,0.1012
1.88949e+06,1.9207e+06,783805,2.04505e+06,2.26867e+06,845707,14487.3,7936.56,5577.68,4487.71,5610.85,4030.6,13109.7,20958.9,12203.7,10684,8842.82,11145.9,7458.55,7274.47,18236.3,19299.5,17529.4,13416,8778.07,9344.47,10070.1,9943.7,5726.9,1315.63,2036.68,1143.92,1286.12,1235.18,831.25,273.303,28467.3,19956.4,19879.9,12974.1,7856.68,3013.1,2544.28,2980.15,12961.2,1376.34,1199.28,1476.06,700.953,892.488,676.023,877.233,10471.2,13092.3,8558.41,9341.22,9218.4,6384.29,3306.52,1585.32,14727,6738.94,14356.5,15009.5,10303.1,9892.12,11544.6,10156.6,6301.44,7556.81,0.1022
