"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","B1-A","B10-A","B11-A","B12-A","B13-A","B14-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A","UV1-A","UV10-A","UV11-A","UV12-A","UV13-A","UV14-A","UV15-A","UV16-A","UV2-A","UV3-A","UV4-A","UV5-A","UV6-A","UV7-A","UV8-A","UV9-A","V1-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","YG1-A","YG10-A","YG2-A","YG3-A","YG4-A","YG5-A","YG6-A","YG7-A","YG8-A","YG9-A","Time"
675898,665760,2.0838e+06,469533,523083,2.22328e+06,188.466,531.261,-148.527,483.586,-163.03,-300.996,152.618,4.98313,96.4644,477.116,58.905,518.543,-109.703,377.825,-167.869,-160.453,220.041,36.75,-188.278,63.0656,-271.359,100.931,1092.68,209.712,892.406,436.881,734.647,1379.7,-107.112,-249.256,632.7,335.469,335.587,92.4469,447.034,377.922,-7.8375,1896.85,2210.63,185.461,-455.39,-335.963,390.768,630.681,477.566,320.638,-445.432,-193.018,-323.745,197.679,-220.703,374.878,27.2612,41.8806,465.75,117.188,356.375,178.5,222.5,419.062,576.5,207,120.875,413.438,0.0098
663380,656391,1.79796e+06,514545,570703,1.86799e+06,585.629,-165.187,78.8375,-326.581,408.988,861.039,335.58,77.945,-147.337,447.068,-94.9769,574.398,-158.419,51.3188,-166.95,85.1812,316.444,73.6969,21.5906,455.306,-108.084,643.125,1263.08,132.406,431.359,254.897,87.2812,1411.88,310.116,278.944,748.837,324.781,443.709,237.916,13.0625,282.506,325.969,1355.71,2473.36,77.1931,79.4531,-205.307,-423.538,78.6056,256.298,270.776,178.116,501.861,-40.0444,138.637,-181.648,635.696,-122.252,1.695,534.062,863.375,-138.562,265.125,332.875,417.188,171.812,455.75,38.5625,-76.5,0.0113
636823,631678,1.919e+06,688934,750439,1.95914e+06,86.1263,578.786,49.6825,197.986,-235.992,898.153,302.781,396.196,271.097,356.479,457.332,748.213,-353.653,227.811,-178.237,190.378,193.2,203.306,-170.691,-63.0656,-221.287,565.491,1340.33,-93.3969,445.372,21.5531,311.481,167.556,-126.588,298.834,977.609,332.144,678.3,642.2,341.881,40.9094,85.6781,1632.99,1993.81,-81.2894,93.5075,-80.3006,-665.005,158.059,381.446,589.366,518.882,465.913,38.9144,-257.216,206.79,290.481,652.575,71.0488,867.562,42.3125,351.875,145,321.312,312.75,-63.4375,391.25,-98.9375,418.188,0.0202
635326,636384,1.80021e+06,527261,588742,1.91367e+06,147.188,-14.8006,262.395,-155.964,57.2688,263.808,179.839,35.3281,365.181,101.596,-21.1969,419.103,-187.276,53.6244,23.6906,184.078,131.119,284.222,-425.053,426.562,-98.8969,-353.391,1364.91,-18.7625,741.297,-377.328,93.1594,350.669,33.1906,477.256,761.841,397.337,409.094,228.475,213.216,65.9062,30.875,1113.58,2398.21,-317.177,495.152,-214.7,-161.661,310.467,344.156,572.345,299.874,186.238,79.1,-187.227,-4.09625,7.27437,193.724,189.275,686.875,19.3125,-20.5625,208.5,-256.25,36.6875,195.938,197.75,-70.5,179,0.0204
663689,666393,2.19167e+06,503096,561276,2.32269e+06,204.978,-171.434,359.678,-117.438,162.658,232.124,-269.014,-24.0231,74.3006,-113.05,-231.232,-63.9625,232.422,-220.968,316.378,-73.5656,133.153,500.916,211.837,-26.1187,8.79375,220.369,2549.15,-94.7625,614.412,133.772,402.503,804.65,-157.225,-138.344,699.912,428.331,574.513,437.119,139.887,374.003,400.128,1379.64,2164.16,-254.674,-82.9844,21.6112,81.7838,811.199,-303.476,234.616,80.795,328.477,-131.433,-117.661,-349.311,492.327,-5.43813,220.068,452.625,1263.94,451.625,319.688,274.125,362.688,534.812,-158.5,-299.25,539.438,0.0297
646970,649779,1.9834e+06,713476,792252,2.08588e+06,226.695,-198.804,119.967,330.076,-236.066,868.923,-6.91688,451.754,-7.51188,66.1938,85.2338,312.301,178.5,-112.604,-110.184,-52.5,334.95,24.0187,194.184,-320.709,282.188,747.141,1014.42,273.6,456.119,165.656,-90.5469,489.962,-285.059,59.2562,117.147,210.188,323.712,205.616,171.059,10.3906,233.7,1556.99,2359.65,240.549,54.6637,92.5188,-343.237,314.211,207.779,-138.708,178.399,425.163,564.364,-94.1431,312.233,283.489,248.388,309.832,798.812,402,14.8125,368,488.312,390.625,254.625,224.125,272.438,118.5,0.0361
656675,654553,1.82916e+06,546002,610178,1.90512e+06,-429.293,230.711,442.234,-106.505,136.032,-16.065,-173.889,84.7875,-537.285,393.146,296.533,401.551,212.713,-193.226,186.834,-457.866,-33.4031,-665.766,14.9625,4.92188,-253.312,-38.1937,1309.46,-122.016,428.509,226.456,-108.122,77.3063,878.334,-110.675,435.753,403.097,554.087,415.566,578.016,614.531,265.703,1134.66,2185.07,150.572,247.753,-21.1169,284.407,197.538,172.184,253.756,-366.261,-11.7238,73.6619,-123.523,-331.231,182.636,31.2869,494.587,573.25,296.438,68.8125,477.188,422.438,167.812,157.062,83.125,254.125,29.3125,0.0384
649195,646535,1.64401e+06,766918,857449,1.74256e+06,264.329,233.314,249.008,-123.016,386.676,114.463,-434.424,219.034,-20.9738,-292.145,-673.094,100.332,13.9825,-640.741,285.534,-203.831,-161.7,-37.0125,295.575,148.181,60.5062,-54.9937,1230.49,-182.222,320.387,176.759,-73.6844,-0.771875,-2.67188,124.628,795.981,325.672,338.675,363.256,342.831,-10.8062,3.8,1819.61,1675.01,71.19,-2.26,569.026,-36.2306,300.792,217.031,345.286,364.707,195.773,360.964,-383.847,360.188,235.464,225.576,299.591,579.062,524,250.562,331.812,122,-125,886.25,-59.25,606.25,-5.375,0.0448
584802,582912,1.60279e+06,447361,497301,1.64530e+06,608.611,114.909,29.2294,38.675,-71.6231,434.35,144.064,-81.8869,294.004,-450.861,-227.811,140.792,165.708,-260.238,233.034,143.128,-145.622,97.125,45.7406,-108.675,146.212,460.162,1811.17,9.14375,342.475,-126.053,368.778,5.34375,197.719,-50.8844,582.706,620.587,446.559,651.997,561.866,-192.137,252.403,1156.45,2578.45,305.453,-54.7344,-10.6644,-84.8206,74.8625,47.5306,236.523,191.394,515.986,-56.3587,295.566,-49.9319,372.9,-6.35625,547.838,79.8125,-332.375,99,-42.75,373.938,-108.688,481.375,203.938,-41.6875,240,0.0529
635930,626400,2.0788e+06,678938,734717,2.10121e+06,-60.095,-150.684,410.624,264.254,25.5106,446.622,-240.008,256.668,-130.677,326.209,93.5638,562.796,-16.9575,-380.651,-60.3094,243.141,262.697,-189.656,78.0281,-5.05312,397.753,-161.962,1203.53,-319.022,247.594,-186.912,-147.725,242.547,355.003,97.1969,417.703,673.787,608.297,329.947,90.7844,194.394,373.469,1312.66,2128.14,-353.619,111.799,250.507,-30.0863,127.972,835.776,680.754,407.294,432.366,251.778,39.0556,175.079,-37.5725,-142.521,-63.4212,793.688,65.9375,174.188,234.375,313.5,172.562,325.75,138.312,457.938,338.5,0.0556
