"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","B1-A","B10-A","B11-A","B12-A","B13-A","B14-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A","UV1-A","UV10-A","UV11-A","UV12-A","UV13-A","UV14-A","UV15-A","UV16-A","UV2-A","UV3-A","UV4-A","UV5-A","UV6-A","UV7-A","UV8-A","UV9-A","V1-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","YG1-A","YG10-A","YG2-A","YG3-A","YG4-A","YG5-A","YG6-A","YG7-A","YG8-A","YG9-A","Time"
1.88598e+06,1.92418e+06,2.20515e+06,2.0004e+06,2.23172e+06,2.32628e+06,775369,1.13922e+06,753945,682432,861296,784199,649100,1.08406e+06,702130,723732,728044,1.04281e+06,735480,683876,872442,1.05033e+06,1.18903e+06,991757,714998,744561,726735,782822,111380,795882,734324,616728,769339,518400,487096,185504,886606,743887,906739,711862,709658,703313,855929,863761,909399,901838,996666,1.05561e+06,908128,671951,841257,1.04997e+06,856889,1.0275e+06,890730,1.08915e+06,1.22094e+06,981622,844248,785253,282342,305781,330127,369496,327707,281215,368739,373050,272909,302174,0.0033
1.86065e+06,1.88322e+06,1.92195e+06,2.30657e+06,2.5605e+06,1.99766e+06,759362,1.08387e+06,725130,647249,789404,693922,637088,1.05969e+06,684309,709759,715121,1.01853e+06,712428,662773,847541,1.01331e+06,1.13641e+06,948483,678516,695932,676808,713713,98690,793194,715641,590867,777815,492520,414307,201629,825219,736117,907635,714307,706302,701904,850573,866819,835442,842212,932402,983297,837096,605715,732922,888558,785715,944459,821257,1.00622e+06,1.12532e+06,907530,786135,731490,280277,261483,328248,368023,328034,279005,368545,360968,252820,271197,0.0143
1.90229e+06,1.93301e+06,2.10609e+06,2.36265e+06,2.63856e+06,2.20814e+06,737420,1.07809e+06,715496,649877,781584,708809,620403,1.04295e+06,673504,697500,706151,1.00891e+06,699730,657649,808097,962851,1.07067e+06,893581,638439,654476,638594,676665,90232.2,746672,663397,552771,695236,445034,407916,157365,693106,680534,859212,678904,673311,672036,816921,823395,854999,875447,951940,999055,843158,613100,735288,895955,814260,989609,865205,1.06648e+06,1.19501e+06,960631,830162,765244,275891,274741,320018,359482,311974,268441,351237,346904,244502,260821,0.0271
1.89802e+06,1.93952e+06,2.35674e+06,2.22808e+06,2.47869e+06,2.47346e+06,765035,1.12009e+06,759868,690226,833717,782283,649216,1.08649e+06,701596,724546,730691,1.0462e+06,726260,690014,868318,1.04168e+06,1.16002e+06,977018,694732,718614,709714,757133,104097,800085,729200,600696,773162,492572,449586,192651,834673,755821,909853,720607,714693,710366,852454,870553,940145,927296,1.01886e+06,1.07995e+06,921127,676794,835973,1.02759e+06,880295,1.05855e+06,920505,1.13021e+06,1.26342e+06,1.01565e+06,877011,807764,286993,307131,336327,376225,333308,284222,373398,375923,276861,295243,0.0503
1.94187e+06,1.97339e+06,2.07442e+06,1.89661e+06,2.10992e+06,2.15484e+06,777644,1.11031e+06,763012,682982,822488,786005,649557,1.08496e+06,695766,719420,725235,1.03341e+06,722475,674945,861996,1.03829e+06,1.18127e+06,998696,723700,757351,748320,811683,119214,817867,755031,628138,795939,534254,499505,205583,952349,761292,938538,738137,728624,725369,871242,890671,901617,892533,987037,1.05094e+06,905377,679966,856577,1.05636e+06,847336,1.01536e+06,880347,1.07566e+06,1.20467e+06,968823,833322,772403,280859,318440,325463,366257,325538,281314,366697,370123,274659,301513,0.0519
1.91385e+06,1.90861e+06,2.3569e+06,2.01428e+06,2.17945e+06,2.36104e+06,841331,1.15885e+06,760935,680266,821857,708400,712319,1.17228e+06,753943,775198,776616,1.08311e+06,765141,709402,878403,1.04965e+06,1.19667e+06,1.01414e+06,730445,768223,771788,804936,115921,838830,763490,626754,792755,517803,488416,194268,952248,776718,944495,757120,745278,741906,905824,912083,949412,936067,1.05045e+06,1.10666e+06,958885,713254,868177,1.05433e+06,879786,1.054e+06,912275,1.11575e+06,1.24473e+06,1.0031e+06,867588,813083,283718,283830,330094,373482,330505,285728,372338,375495,268651,281584,0.0604
1.91543e+06,1.94465e+06,1.99024e+06,1.76048e+06,1.97746e+06,2.14244e+06,752482,1.08514e+06,751384,670938,801507,737619,628389,1.05455e+06,686531,710766,723865,1.03165e+06,729157,674688,845341,993117,1.123e+06,934951,669608,680189,663704,720703,106894,847160,772011,645157,783056,516219,460346,195907,825346,793979,957803,752461,749612,739592,896602,921414,883080,872398,957058,1.01302e+06,854771,622377,765950,943536,831710,996075,860045,1.05412e+06,1.17622e+06,948093,815980,758222,276088,297777,323104,362820,318365,273973,362552,357867,262506,290754,0.0687
1.97457e+06,1.9993e+06,2.34103e+06,1.86097e+06,2.06149e+06,2.41575e+06,769740,1.10887e+06,758521,687976,823852,751452,650925,1.08132e+06,700705,721368,726964,1.03625e+06,725536,681466,875833,1.05275e+06,1.19052e+06,1.00886e+06,730141,766673,762835,832712,132387,831536,763576,647495,814479,521032,485233,215840,970120,774433,935835,745880,738263,733224,888248,903946,965631,950126,1.05586e+06,1.11966e+06,965609,728553,916232,1.15512e+06,899688,1.0798e+06,933785,1.14202e+06,1.27692e+06,1.0272e+06,891834,824601,283977,318737,331200,370513,329171,280734,374533,374647,274912,310806,0.0703
1.8827e+06,1.91153e+06,2.05893e+06,2.40026e+06,2.70105e+06,2.17701e+06,739101,1.06131e+06,703336,659259,773663,702811,621492,1.04142e+06,669530,692831,699478,991202,691323,642205,798051,950664,1.05715e+06,883639,627601,640187,620004,671528,91983.2,739380,650296,546643,682597,437132,365846,180368,669884,661298,849216,673915,674615,671399,814604,816068,845126,861811,926796,974847,818461,591452,724410,870122,809652,985873,862848,1.06128e+06,1.18696e+06,951520,816491,751162,274547,262186,322093,358707,312720,270592,353044,344251,247116,260963,0.0781
1.9281e+06,1.93476e+06,2.05e+06,1.7758e+06,1.98679e+06,2.15007e+06,686412,1.02251e+06,694335,623585,756085,702804,587078,975694,634925,648163,657509,946395,662604,625514,826853,980862,1.12766e+06,945260,688242,718134,702102,756842,115184,802889,741120,632381,802338,517439,489909,199250,952804,760254,908763,721842,710735,712584,849216,876107,858081,838292,932454,995667,858169,636588,798479,1.00203e+06,794334,950024,820571,1.00777e+06,1.13011e+06,905644,783232,724978,271244,322791,316166,356323,315004,273232,363573,360009,268535,303281,0.0827
