"FSC-A","FSC-H","SSC-A","SSC-B-A","SSC-B-H","SSC-H","B1-A","B10-A","B11-A","B12-A","B13-A","B14-A","B2-A","B3-A","B4-A","B5-A","B6-A","B7-A","B8-A","B9-A","R1-A","R2-A","R3-A","R4-A","R5-A","R6-A","R7-A","R8-A","UV1-A","UV10-A","UV11-A","UV12-A","UV13-A","UV14-A","UV15-A","UV16-A","UV2-A","UV3-A","UV4-A","UV5-A","UV6-A","UV7-A","UV8-A","UV9-A","V1-A","V10-A","V11-A","V12-A","V13-A","V14-A","V15-A","V16-A","V2-A","V3-A","V4-A","V5-A","V6-A","V7-A","V8-A","V9-A","YG1-A","YG10-A","YG2-A","YG3-A","YG4-A","YG5-A","YG6-A","YG7-A","YG8-A","YG9-A","Time"
1.99998e+06,2.01369e+06,2.35519e+06,1.95061e+06,2.11655e+06,2.37848e+06,802337,1.13448e+06,758760,679836,801697,749844,683970,1.1359e+06,726597,736082,735051,1.0651e+06,737974,681945,907249,1.08515e+06,1.22196e+06,1.03636e+06,757477,790110,805727,846529,143754,850686,797788,658362,850934,541224,509981,204297,1.0031e+06,810207,985427,790244,777013,775992,933067,932793,968662,917510,1.05619e+06,1.11247e+06,967586,732294,905064,1.13883e+06,900004,1.07814e+06,935331,1.14591e+06,1.28134e+06,1.02712e+06,878711,802653,850136,898645,906597,1.03582e+06,968044,820392,1.08168e+06,1.09284e+06,793964,867100,0.0061
2.06365e+06,2.03439e+06,1.94271e+06,1.88336e+06,2.05278e+06,1.95958e+06,788617,1.11363e+06,752335,668353,817523,747506,675734,1.12065e+06,712940,721807,721558,1.0458e+06,722102,681383,900767,1.07329e+06,1.21664e+06,1.02379e+06,749660,787031,803571,847720,136820,853298,794250,658634,875681,535718,516257,216404,1.01416e+06,809766,983729,788728,780149,772152,932544,936920,878341,839677,963478,1.01878e+06,885186,669576,837110,1.05614e+06,821080,982201,852072,1.03994e+06,1.16555e+06,935474,800276,733591,851097,941384,911372,1.03909e+06,971010,823808,1.09291e+06,1.09645e+06,796201,892268,0.0809
1.87901e+06,1.8961e+06,2.15667e+06,2.16942e+06,2.38851e+06,2.25088e+06,784515,1.14665e+06,761235,689977,834943,749168,663764,1.10939e+06,708693,721068,728967,1.06323e+06,734805,692350,904618,1.07506e+06,1.19942e+06,1.00265e+06,724312,738704,724560,775873,117020,801294,744772,629549,794676,518567,446110,194305,919377,765291,933872,745318,730919,723492,882064,888518,896495,864905,984185,1.03295e+06,889332,654915,804130,979946,845595,1.01496e+06,882556,1.0821e+06,1.21138e+06,973127,832017,758023,839748,823420,901663,1.02399e+06,952574,810687,1.06654e+06,1.06444e+06,763874,837757,0.0945
1.83955e+06,1.84868e+06,2.04122e+06,2.1706e+06,2.3513e+06,2.07274e+06,842702,1.12366e+06,744277,644056,803747,705590,696161,1.16364e+06,741051,748796,753682,1.07489e+06,748404,693691,898140,1.06473e+06,1.20025e+06,1.00305e+06,720027,745673,750428,779325,120762,846661,793937,638968,834650,520753,495995,196751,973154,801566,991053,789626,776995,777947,934296,939267,881405,847532,970617,1.00786e+06,863578,639805,762696,931558,826163,988046,853532,1.04567e+06,1.16976e+06,939262,807165,740975,834133,801981,891704,1.02142e+06,951429,792157,1.04534e+06,1.03855e+06,735146,776468,0.1069
1.91938e+06,1.93144e+06,2.05981e+06,1.90416e+06,2.13274e+06,2.22743e+06,773940,1.1002e+06,749399,677665,796529,734918,643598,1.0836e+06,697229,713176,720352,1.04929e+06,728009,670230,855725,1.00397e+06,1.11647e+06,929695,666389,672417,666903,718504,103095,815411,740627,613546,756851,475725,440603,174564,773234,764348,952388,744942,742297,737622,890054,903736,871521,842882,942173,976158,821772,593230,730457,899512,828794,997049,867318,1.06559e+06,1.19157e+06,955942,815584,740961,815330,830924,882166,997969,917233,780127,1.01929e+06,1.00355e+06,720713,815982,0.1136
1.88542e+06,1.91146e+06,2.23769e+06,2.08909e+06,2.34291e+06,2.40764e+06,764653,1.09203e+06,731630,667218,802003,739734,646686,1.08159e+06,697112,712969,718593,1.03619e+06,718193,669495,840225,986451,1.09941e+06,918095,656093,655177,647543,698913,103276,799999,722378,595763,750184,502542,426367,171923,738358,733980,934256,749288,739531,732813,895003,886994,884398,858847,950040,987098,829431,596538,737419,921421,847650,1.02337e+06,892479,1.09744e+06,1.22701e+06,981726,833022,758922,822680,841229,887203,999333,918014,780805,1.02404e+06,999372,718195,799204,0.1249
1.90186e+06,1.88529e+06,1.81427e+06,1.64455e+06,1.80045e+06,1.84001e+06,751218,1.07562e+06,712072,646202,801177,712937,634377,1.05238e+06,677026,684479,688765,994820,694963,648294,907335,1.08419e+06,1.21352e+06,1.0337e+06,752299,791053,802063,873490,149798,840512,787031,649590,838783,573193,521700,220455,1.00745e+06,796998,962687,771427,759170,759760,911831,919516,806535,776402,891168,943281,818692,614701,783279,1.00555e+06,752312,900932,782419,960315,1.07244e+06,863460,745376,680368,846712,937079,913650,1.03473e+06,965132,826567,1.0878e+06,1.09014e+06,802024,901233,0.1274
1.88837e+06,1.89946e+06,2.26658e+06,2.2688e+06,2.5129e+06,2.35346e+06,759847,1.08896e+06,723661,642760,772594,676181,636186,1.06389e+06,690692,701784,708509,1.03308e+06,709788,658623,880541,1.03896e+06,1.16127e+06,964000,685234,703126,686671,729105,90852.6,779607,720540,592959,763746,497160,447822,176008,811240,735792,904573,727312,709062,705762,856095,864138,905028,876405,988664,1.03425e+06,876492,633221,762613,920349,847650,1.02113e+06,889774,1.09055e+06,1.22377e+06,981912,841576,766544,837707,798556,896481,1.01772e+06,940002,800316,1.04231e+06,1.02539e+06,715278,769851,0.1296
1.91212e+06,1.94253e+06,2.23556e+06,1.89241e+06,2.12565e+06,2.4144e+06,767545,1.11381e+06,748352,677005,794695,749371,641511,1.07766e+06,696837,710224,717958,1.04283e+06,724874,668998,862101,1.00792e+06,1.11945e+06,929739,668470,677145,674228,716340,109537,818778,753630,610032,777542,501986,433560,182673,790998,778722,952546,752281,738143,735037,897016,901468,904047,872170,972662,1.00668e+06,850770,613803,757478,939545,855958,1.03206e+06,896669,1.10052e+06,1.23165e+06,986447,838935,765684,825312,840514,886808,1.00004e+06,925629,792013,1.02797e+06,1.01807e+06,730074,799497,0.1316
2.0341e+06,2.03774e+06,2.0807e+06,1.88917e+06,2.05167e+06,2.1079e+06,798646,1.13644e+06,739189,675121,814180,740841,671430,1.11926e+06,714087,724210,725172,1.04236e+06,723648,681413,908329,1.08506e+06,1.21593e+06,1.03007e+06,753482,785919,802215,855991,129675,854726,786740,656573,848699,554039,527385,207114,996348,805069,979823,785149,765725,767590,927032,933980,902723,863432,995744,1.04934e+06,913149,690457,871943,1.07984e+06,844896,1.00924e+06,875378,1.07089e+06,1.19721e+06,961482,825229,755035,850881,912903,909953,1.03929e+06,973261,823912,1.09155e+06,1.09748e+06,808847,900170,0.1356
1.83135e+06,1.83145e+06,2.13237e+06,2.24388e+06,2.43811e+06,2.14899e+06,820773,1.11578e+06,748387,674260,787894,724754,690988,1.14592e+06,731696,737802,741439,1.06992e+06,736085,688510,882924,1.03767e+06,1.18685e+06,985772,721054,754214,761744,800259,131672,892119,835638,695532,874546,573659,538017,212701,1.04772e+06,854981,1.03836e+06,832601,813877,819997,981423,986620,909122,860986,991246,1.04441e+06,902246,678724,824294,1.0311e+06,844913,1.00704e+06,866795,1.06666e+06,1.19608e+06,957467,820907,748801,819722,831127,877921,1.0056e+06,940632,789329,1.05437e+06,1.04917e+06,751209,817067,0.1398
1.93706e+06,1.96101e+06,2.14817e+06,1.99411e+06,2.19458e+06,2.21166e+06,795425,1.14439e+06,757660,679123,850393,756562,675305,1.12232e+06,716845,727637,733681,1.07162e+06,740767,691589,923301,1.08961e+06,1.2207e+06,1.03026e+06,746372,776726,777280,822834,131213,826414,781971,639578,828469,531331,496074,212431,987550,786296,956477,757922,755440,749474,904535,909991,916519,876403,1.00633e+06,1.05912e+06,920617,687541,852430,1.0561e+06,860546,1.03028e+06,894381,1.09621e+06,1.22656e+06,984983,839782,766177,835518,874502,895295,1.02032e+06,955557,811152,1.06679e+06,1.06976e+06,781212,874448,0.1401
1.97976e+06,2.00861e+06,1.9971e+06,1.86169e+06,2.07625e+06,2.11974e+06,738314,1.08532e+06,733949,661771,794593,737478,617584,1.03983e+06,671399,680713,689188,1.01063e+06,708151,661793,881144,1.03247e+06,1.1705e+06,964815,706610,718899,712970,769354,116886,864268,812980,670425,863810,575078,507734,221112,980696,834076,998950,794360,778472,776094,933595,943161,882459,837564,957047,1.0072e+06,856924,630456,789310,989878,826511,987526,853189,1.04894e+06,1.1731e+06,942254,803917,731398,828470,917681,887185,1.00829e+06,936709,804442,1.05796e+06,1.04398e+06,769621,854433,0.1418
